overall	Bile_Duct_Cancer	Breast_Cancer	Colorectal_Cancer	Gastric_cancer	Lung_Cancer	Ovarian_Cancer	Pancreatic_Cancer	I	II	III	IV	0_TFx	>0-0.05_TFx	>=0.05_TFx
0.56326	0.61888	0.57585	0.29853	0.36667	0.71795	0.55769	0.75444	0.55299	0.59921	0.58846	0.37821	0.55529	0.55584	0.59402
0.57321	0.74691	0.55661	0.54568	0.51235	0.80000	0.72963	0.35354	0.61806	0.56637	0.55111	0.55556	0.50700	0.62778	0.44722
0.61824	0.53627	0.65798	0.70588	0.53048	0.49118	0.77479	0.56471	0.73560	0.58347	0.60131	0.54118	0.64329	0.60034	0.61830
0.53247	0.58833	0.50060	0.67742	0.54839	0.52903	0.49297	0.51541	0.59624	0.50657	0.44379	0.67384	0.39247	0.57771	0.65352
0.56829	0.61176	0.56912	0.43294	0.49902	0.89412	0.66851	0.46096	0.55294	0.56206	0.43529	0.76824	0.42059	0.60561	0.70420
0.57368	0.38875	0.53611	0.63750	0.61094	0.69062	0.67404	0.56518	0.64934	0.53375	0.52500	0.68750	0.56467	0.58494	0.55714
0.52845	0.54789	0.47823	0.52289	0.35851	0.42254	0.74531	0.60915	0.47586	0.54853	0.48451	0.63908	0.52845	0.49777	0.66823
0.54075	0.48000	0.49432	0.49375	0.55781	0.54375	0.67019	0.56250	0.53571	0.54128	0.47500	0.62143	0.56761	0.52344	0.55000
0.51258	0.48025	0.51654	0.53772	0.39506	0.55556	0.53984	0.58573	0.51914	0.53645	0.36790	0.55732	0.39643	0.52283	0.81207
0.52615	0.47582	0.51237	0.55294	0.52647	0.53824	0.64941	0.47059	0.56235	0.48796	0.53772	0.62222	0.51148	0.53394	0.51647
0.47795	0.43827	0.42504	0.50712	0.58810	0.38580	0.48834	0.47090	0.48148	0.46091	0.45782	0.56678	0.42181	0.50617	0.49559
0.55817	0.57129	0.54503	0.61128	0.56369	0.77134	0.45976	0.56098	0.53930	0.57450	0.54704	0.48780	0.51595	0.56964	0.62439
