	median	0.025	0.975
overall	0.54967	0.46838	0.62693
Bile_Duct_Cancer	0.50085	0.30110	0.70345
Breast_Cancer	0.58181	0.44996	0.71287
Colorectal_Cancer	0.58830	0.39849	0.77114
Gastric_cancer	0.50913	0.33231	0.70593
Lung_Cancer	0.53243	0.20235	0.84249
Ovarian_Cancer	0.56419	0.38567	0.72958
Pancreatic_Cancer	0.53815	0.37030	0.69234
I	0.55288	0.40869	0.69659
II	0.55097	0.45519	0.64756
III	0.51718	0.35178	0.68543
IV	0.58522	0.35997	0.78619
0_TFx	0.52495	0.40634	0.63907
>0-0.05_TFx	0.55115	0.45257	0.64675
>=0.05_TFx	0.60132	0.40985	0.77165
