group	mean	lower	upper	metric
0_TFx	0.8395328474581207	0.7588598287416233	0.9080250228492142	AUC
>0-0.05_TFx	0.9169380610598885	0.8575878209050908	0.9647443919169447	AUC
>=0.05_TFx	0.9598954495301358	0.8547616407982261	1.0	AUC
Bile_Duct_Cancer	0.9470279252510027	0.8522622053872054	0.9982888127853881	AUC
Breast_Cancer	0.8804255461070322	0.7941973287482078	0.9503737063597715	AUC
Colorectal_Cancer	0.8720952058151078	0.7283417508417509	0.9742063492063492	AUC
Gastric_cancer	0.8349990020872087	0.6893888206388207	0.9571658585561759	AUC
I	0.8498789098278731	0.739571116255144	0.9380862751799284	AUC
II	0.8943715510031198	0.8289330928023384	0.9495614035087718	AUC
III	0.8835269362013857	0.7593559713664371	0.9747874835868257	AUC
IV	0.9418742566924964	0.8402735433604336	0.9945654630867208	AUC
Lung_Cancer	0.9932540502095214	0.9620253164556962	1.0	AUC
Ovarian_Cancer	0.9382884345473413	0.8523141563551889	0.9921890140503876	AUC
Pancreatic_Cancer	0.8398457492437921	0.7167630446476602	0.9474183877415057	AUC
overall	0.8894005828694626	0.8361681887366819	0.9316849845201238	AUC
