	median	0.025	0.975
overall	0.83444	0.77546	0.88900
Bile_Duct_Cancer	0.92230	0.79997	0.98827
Breast_Cancer	0.86362	0.77385	0.93791
Colorectal_Cancer	0.82073	0.60223	0.95892
Gastric_cancer	0.65663	0.32291	0.88518
Lung_Cancer	0.97959	0.87355	1.00000
Ovarian_Cancer	0.90776	0.78949	0.98107
Pancreatic_Cancer	0.79834	0.63283	0.92107
I	0.80448	0.68816	0.91092
II	0.86009	0.78787	0.91522
III	0.80536	0.64912	0.92651
IV	0.84169	0.65328	0.97917
0_TFx	0.77383	0.67961	0.86248
>0-0.05_TFx	0.84743	0.76271	0.91294
>=0.05_TFx	0.91501	0.80374	0.99031
