	median	0.025	0.975
overall	0.81751	0.74887	0.87110
Bile_Duct_Cancer	0.81440	0.65890	0.95045
Breast_Cancer	0.77169	0.63810	0.87501
Colorectal_Cancer	0.90525	0.75237	0.98672
Gastric_cancer	0.77329	0.57136	0.92342
Lung_Cancer	0.91565	0.67506	1.00000
Ovarian_Cancer	0.91144	0.79425	0.98001
Pancreatic_Cancer	0.78014	0.61795	0.90281
I	0.79304	0.67002	0.90183
II	0.80508	0.71425	0.87478
III	0.83830	0.70424	0.94233
IV	0.90277	0.74995	0.98750
0_TFx	0.76613	0.65566	0.85723
>0-0.05_TFx	0.81497	0.72650	0.88121
>=0.05_TFx	0.93512	0.82037	0.99197
