overall	Bile_Duct_Cancer	Breast_Cancer	Colorectal_Cancer	Gastric_cancer	Lung_Cancer	Ovarian_Cancer	Pancreatic_Cancer	I	II	III	IV	0_TFx	>0-0.05_TFx	>=0.05_TFx
0.82861	0.83800	0.81036	0.89011	0.86410	0.98291	0.86699	0.73471	0.80085	0.82753	0.81154	0.88622	0.82532	0.82194	0.85214
0.75951	0.67407	0.75132	0.78765	0.76049	0.85000	0.88519	0.68384	0.71319	0.74565	0.79000	0.82917	0.68272	0.79683	0.88611
0.75567	0.71569	0.81429	0.73137	0.66096	0.95882	0.84874	0.67206	0.70960	0.77647	0.79085	0.74118	0.66447	0.78824	0.88235
0.83728	0.93856	0.84886	0.91828	0.72434	0.98280	0.92060	0.70323	0.83656	0.82258	0.80450	0.97312	0.72043	0.86901	0.96774
0.86628	0.91373	0.78676	0.96471	0.83627	0.98824	0.93010	0.84599	0.91569	0.83824	0.84887	0.89882	0.83284	0.85160	0.96975
0.73997	0.59125	0.68403	0.92639	0.71406	0.83125	0.85673	0.67857	0.75658	0.70781	0.71705	0.93250	0.70109	0.69808	0.92054
0.84469	0.84648	0.79065	0.98592	0.71959	0.99296	0.96714	0.76408	0.85714	0.80091	0.88638	0.92782	0.80225	0.84507	0.96088
0.78134	0.76625	0.63267	0.85391	0.77422	0.92500	0.90337	0.87344	0.72411	0.78445	0.80703	0.82500	0.70398	0.78531	0.92159
0.77934	0.85556	0.68247	0.91084	0.64321	0.91358	0.80359	0.87929	0.79136	0.77631	0.80123	0.73192	0.70416	0.80821	0.86694
0.79461	0.85882	0.75051	0.85882	0.74118	0.80882	0.92588	0.73235	0.74902	0.75350	0.86436	0.93072	0.78543	0.77534	0.91412
0.85602	0.83642	0.75309	0.97056	0.83502	0.96605	0.96845	0.78219	0.85450	0.80500	0.91667	0.95960	0.77829	0.86736	0.95767
0.78106	0.69278	0.84803	0.78125	0.77575	0.87500	0.85610	0.72180	0.78184	0.75172	0.92944	0.91159	0.64400	0.84756	0.88476
0.83005	0.86713	0.76998	0.91795	0.75641	0.96886	0.90641	0.76190	0.81731	0.83271	0.77656	0.89744	0.80592	0.81148	0.94675
0.80110	0.77297	0.84620	0.80968	0.75369	0.91216	0.88649	0.72368	0.80439	0.79112	0.84459	0.76689	0.80825	0.79399	0.81265
0.82447	0.70524	0.84344	0.95443	0.78968	0.93165	0.92520	0.75879	0.82502	0.80825	0.86962	0.84268	0.74525	0.83321	0.92152
0.86223	0.89167	0.77483	0.92714	0.88571	0.95143	0.89464	0.84714	0.85306	0.84286	0.81905	0.99857	0.79675	0.85367	0.98776
0.86899	0.90991	0.88345	0.88851	0.78529	0.97297	0.94717	0.78378	0.76014	0.87739	0.90428	0.94595	0.82733	0.87568	0.95811
0.76206	0.69408	0.75011	0.83694	0.67597	0.87403	0.87839	0.67468	0.77561	0.75108	0.72124	0.90693	0.70412	0.75607	0.86926
0.81521	0.70571	0.76898	0.95120	0.75676	0.79392	0.88438	0.77510	0.79392	0.79902	0.80293	0.91216	0.72193	0.81393	0.95270
0.79194	0.81481	0.76049	0.70473	0.79506	0.81481	0.84303	0.85432	0.68395	0.79118	0.86934	0.78889	0.63940	0.84515	0.99177
