	median	0.025	0.975
overall	0.79293	0.72580	0.84739
Bile_Duct_Cancer	0.83546	0.70088	0.94436
Breast_Cancer	0.80181	0.69893	0.89877
Colorectal_Cancer	0.77444	0.59784	0.90455
Gastric_cancer	0.71493	0.52401	0.88227
Lung_Cancer	0.89239	0.67678	1.00000
Ovarian_Cancer	0.83525	0.70434	0.93283
Pancreatic_Cancer	0.76060	0.60869	0.88027
I	0.73006	0.58445	0.84508
II	0.81107	0.72763	0.87536
III	0.77529	0.63099	0.90075
IV	0.84956	0.68521	0.96086
0-0.03TFx	0.76023	0.68494	0.82662
0.03-0.05TFx	0.81560	0.67630	0.92800
>0.05TFx	0.90503	0.79221	0.97585
