overall	Bile_Duct_Cancer	Breast_Cancer	Colorectal_Cancer	Gastric_cancer	Lung_Cancer	Ovarian_Cancer	Pancreatic_Cancer	I	II	III	IV	0-0.03TFx	0.03-0.05TFx	>0.05TFx
0.88242	0.95280	0.89370	0.98077	0.84295	0.98077	0.92628	0.72978	0.88803	0.86355	0.92115	0.91026	0.83061	0.96154	0.97094
0.93059	0.96790	0.96032	0.88025	0.93086	0.93889	0.99506	0.82222	0.92014	0.92222	0.95333	0.94444	0.90885	0.99333	0.98889
0.84842	0.92059	0.91933	0.73922	0.69840	0.97353	0.93950	0.82500	0.77957	0.90302	0.75817	0.97647	0.83457	0.88770	0.87582
0.90294	0.99232	0.93070	0.87527	0.96676	1.00000	0.96940	0.69391	0.98280	0.84170	0.92669	0.92832	0.86129	0.98522	0.98805
0.92525	0.96732	0.91912	0.98118	0.88529	0.99216	0.98547	0.80428	0.98105	0.89559	0.89864	0.97059	0.90365	0.96706	0.98487
0.87862	0.88625	0.87639	0.80694	0.94063	0.97813	0.93365	0.80714	0.85461	0.88469	0.87841	0.91250	0.83776	0.94327	0.96161
0.89333	0.95070	0.87900	0.95599	0.75800	1.00000	0.97887	0.80282	0.95976	0.87362	0.82441	0.98768	0.89974	0.76660	0.94992
0.88887	0.95375	0.93807	0.82344	0.75469	0.89375	0.94135	0.78438	0.83482	0.90988	0.85469	0.89107	0.85849	0.95139	0.98409
0.90639	0.97037	0.87012	0.93827	0.94444	0.93333	0.94276	0.80247	0.93395	0.87272	0.97778	0.92769	0.89220	0.90388	0.99863
0.89681	0.97386	0.92211	0.89748	0.81176	0.90588	0.98235	0.75686	0.88471	0.89944	0.90035	0.89804	0.86832	0.93971	0.99059
0.88232	0.94959	0.92593	0.90503	0.82267	0.99691	0.97942	0.71164	0.83510	0.86356	0.88786	0.99439	0.84844	0.91975	0.95326
0.88233	0.92777	0.91651	0.87348	0.85230	0.99390	0.95244	0.75991	0.85298	0.89343	0.87979	0.90244	0.85342	0.94411	0.95854
0.88849	0.92541	0.93891	0.86410	0.81571	0.98535	0.97179	0.78297	0.82436	0.91932	0.82418	0.97721	0.86810	0.91209	0.95562
0.90944	0.93063	0.92407	0.86261	0.85872	0.97635	0.98919	0.85989	0.87905	0.90857	0.92761	0.97523	0.88257	0.97072	0.95086
0.91632	0.94665	0.96736	0.94177	0.82960	0.92658	0.91600	0.88467	0.81906	0.94913	0.88481	0.93490	0.89460	0.92075	0.98481
0.90020	0.90714	0.90136	0.87714	0.81190	0.96857	0.95536	0.87714	0.88980	0.89961	0.88095	0.94000	0.87874	0.88125	0.98776
0.89640	0.97147	0.92314	0.84797	0.76126	0.98311	0.97174	0.85135	0.84797	0.91859	0.86712	0.89961	0.87096	0.95332	0.96351
0.86379	0.80519	0.89566	0.93218	0.80909	0.87273	0.96812	0.68701	0.80808	0.85281	0.89425	0.97980	0.82120	0.95604	0.94286
0.91159	0.96246	0.89575	0.95270	0.87500	0.92905	0.95345	0.83880	0.86261	0.91231	0.91441	0.95495	0.88093	0.93018	0.98949
0.86910	0.98942	0.91193	0.87243	0.70494	0.90741	0.90653	0.81852	0.85556	0.89065	0.80453	0.87284	0.84280	0.89330	0.96296
0.83111	0.87123	0.89041	0.83953	0.75228	0.90068	0.90020	0.74401	0.76142	0.85409	0.76164	0.89954	0.80589	0.89650	0.89913
0.88973	0.97189	0.93494	0.83976	0.86145	0.96687	0.97390	0.78012	0.80884	0.91288	0.89342	0.97590	0.87303	0.94625	0.90878
0.85936	0.95972	0.80093	0.89583	0.81046	0.96111	0.92917	0.79487	0.80035	0.87068	0.77976	0.99074	0.80000	0.94079	0.99145
0.89837	0.92807	0.94127	0.94094	0.90376	0.99474	0.96140	0.72429	0.91368	0.87050	0.94539	0.99398	0.86865	0.93801	0.96842
