	median	0.025	0.975
overall	0.89156	0.83996	0.93340
Bile_Duct_Cancer	0.93520	0.81578	0.99412
Breast_Cancer	0.90412	0.82239	0.96335
Colorectal_Cancer	0.89535	0.75827	0.98500
Gastric_cancer	0.86536	0.70645	0.96677
Lung_Cancer	0.98039	0.84063	1.00000
Ovarian_Cancer	0.95473	0.87111	0.99369
Pancreatic_Cancer	0.80420	0.64759	0.92229
I	0.87482	0.76141	0.95776
II	0.88805	0.82170	0.94448
III	0.89424	0.77847	0.96662
IV	0.94686	0.84462	0.99820
0-0.03TFx	0.86545	0.80113	0.91649
0.03-0.05TFx	0.93545	0.83699	0.99043
>0.05TFx	0.96214	0.88360	0.99719
