	median	0.025	0.975
overall	0.93386	0.85217	0.96548
Bile_Duct_Cancer	0.97030	0.90358	0.99794
Breast_Cancer	0.92917	0.82981	0.97495
Colorectal_Cancer	0.97591	0.81217	0.99810
Gastric_cancer	0.92945	0.78286	0.99324
Lung_Cancer	0.99363	0.94227	1.00000
Ovarian_Cancer	0.98665	0.93537	1.00000
Pancreatic_Cancer	0.82714	0.67462	0.94028
I	0.93004	0.82742	0.98425
II	0.92134	0.83774	0.96437
III	0.94075	0.83213	0.98625
IV	0.98669	0.87856	1.00000
0_TFx	0.89020	0.79577	0.95410
>0-0.05_TFx	0.94156	0.85653	0.97785
>=0.05_TFx	0.98734	0.89212	1.00000
