overall	Bile_Duct_Cancer	Breast_Cancer	Colorectal_Cancer	Gastric_cancer	Lung_Cancer	Ovarian_Cancer	Pancreatic_Cancer	I	II	III	IV	0_TFx	>0-0.05_TFx	>=0.05_TFx
0.80145	0.96387	0.83494	0.84982	0.58846	0.99573	0.98718	0.58087	0.83504	0.81349	0.77436	0.76282	0.70994	0.79715	0.91197
0.93957	0.97284	0.94709	0.99259	0.94938	0.98333	0.99753	0.77778	0.97500	0.90811	0.95556	0.97917	0.89671	0.96138	1.00000
0.80017	0.91275	0.86050	0.64706	0.66845	0.96471	0.92101	0.72353	0.72136	0.84356	0.71242	0.97255	0.75153	0.81882	0.86275
0.94595	0.99539	0.93369	0.99140	0.99022	1.00000	0.99338	0.82724	0.98226	0.90323	0.98045	1.00000	0.87488	0.97141	0.99522
0.93472	0.99216	0.90784	0.98824	0.88922	1.00000	0.98408	0.87166	0.98170	0.90794	0.92127	0.96824	0.88725	0.94866	0.97227
0.85428	0.97000	0.82778	0.79167	0.90625	0.84688	0.93846	0.74018	0.88618	0.83750	0.87500	0.82250	0.80543	0.86122	0.91518
0.87042	0.92676	0.86044	0.86092	0.82714	0.96831	0.98826	0.67077	0.95573	0.82490	0.85540	0.96479	0.84169	0.87908	0.91080
0.95377	0.97500	0.95398	0.98281	0.93437	0.97187	0.98654	0.85469	0.95714	0.95000	0.93437	0.98571	0.90966	0.97531	0.96364
0.95406	0.98272	0.93136	0.98491	0.98272	0.99012	0.98878	0.86008	0.97160	0.93269	0.98395	0.98942	0.95336	0.94488	1.00000
0.94302	0.98693	0.94564	0.96639	0.96324	0.98382	0.99647	0.80490	0.95529	0.92969	0.94464	0.98170	0.90364	0.94796	1.00000
0.89851	0.97119	0.87566	0.98386	0.86308	0.99691	0.98080	0.72663	0.87213	0.87148	0.91975	0.99663	0.80761	0.93257	0.95944
0.90920	0.95591	0.93433	0.91768	0.94580	0.99390	0.99024	0.74848	0.89160	0.91437	0.89721	0.94512	0.91041	0.89891	0.94512
0.90936	0.97552	0.92986	0.94231	0.82212	0.98718	0.96923	0.82051	0.88526	0.92683	0.86813	0.93020	0.88859	0.90501	0.97041
0.90075	0.95495	0.91055	0.86486	0.82432	0.96959	0.98919	0.83642	0.88176	0.90972	0.88417	0.93243	0.89236	0.89333	0.95455
0.92982	0.97107	0.97135	0.97342	0.90166	0.98481	0.98159	0.80309	0.88086	0.93765	0.94557	0.94756	0.90295	0.92231	0.99831
0.95499	0.95952	0.92313	0.97857	0.97381	0.99429	0.97679	0.94000	0.96122	0.94595	0.94048	0.99714	0.91948	0.95985	0.99796
