,logFC,AveExpr,t,P.Value,adj.P.Val,B
PGLYRP1,13.474806677773788,-2.9065463795893964,212.01166188068333,0.0,0.0,2480.8946937064766
HBM,13.208418784522962,-3.372840525437667,208.19063913264208,0.0,0.0,2455.4109331553877
DEFA1B,15.720445250097118,-2.698970800300088,169.69326184080873,0.0,0.0,2177.052542682597
GP9,10.341558840128018,-3.904059652168464,165.8289725634177,0.0,0.0,2144.9381222061747
ALAS2,15.54847035440368,-1.7895156013488929,164.87403242607587,0.0,0.0,2138.5986399745
ARRB2,6.174337717624894,6.042490071083566,158.9264030033014,0.0,0.0,2092.943837555658
PF4,11.677368592463752,-3.2140913622507052,157.82242505206622,0.0,0.0,2078.6064752952616
DEFA1,15.326095534831397,-2.506904929192808,155.22167065851826,0.0,0.0,2056.6540238521097
SLC4A1,13.802555158144493,-2.2361023980185797,152.82331464058853,0.0,0.0,2035.8483104194938
PROK2,13.375291287051839,-2.144965400175239,151.55840521299424,0.0,0.0,2024.7219854607783
MEFV,9.876401439620366,0.4581056061973831,150.45477002800828,0.0,0.0,2016.143742831047
PADI4,13.482600551946945,-1.4850548142892483,147.4491223748056,0.0,0.0,1988.1493858207489
HBB,16.86543738647746,5.314413460919052,147.1733053209089,0.0,0.0,1988.8117075430357
AHSP,11.952182518728776,-3.1600151898936146,145.99828309137047,0.0,0.0,1974.0490494324536
ARG1,12.869329950736695,-2.124380295668473,145.31892174055614,0.0,0.0,1968.3473607414269
CXCR2,11.991504481092942,0.6264143045520075,140.68446557853613,0.0,0.0,1926.201826411266
RASGRP4,8.58188458578877,2.1206087205817026,138.67862039308486,0.0,0.0,1907.8680976809708
HBA2,17.27653734547405,4.832145323878461,138.66926616937295,0.0,0.0,1908.8045859735537
AC008984.2,8.356585065819598,-4.383220575573323,137.32496608404534,0.0,0.0,1891.777712150122
LINC00694,11.001180427668416,-2.7108429453648455,135.6125064423487,0.0,0.0,1875.96779587532
DEFA4,11.431912529866956,-3.7858276288342694,135.16369194569904,0.0,0.0,1871.0671841602964
LY6G6F,8.625907528239935,-4.356347485571253,134.33073696924026,0.0,0.0,1862.5882065058058
CEACAM3,11.402943652152207,-1.6720884706372026,134.29661188610044,0.0,0.0,1863.4758883449178
MXD1,6.828898344232292,5.589291003408177,133.99487610600804,0.0,0.0,1863.0839524249402
HBA1,17.111104717966185,4.059645212521173,133.60655820422457,0.0,0.0,1859.0452791969806
FGR,8.406606448179538,4.275211773720383,133.36983166284134,0.0,0.0,1856.730605621921
DEFA3,14.261654632016814,-3.0408964849118143,133.13826715348202,0.0,0.0,1851.432613829602
CMTM2,10.182989823506048,-1.2868256559408164,132.57789702968566,0.0,0.0,1846.558644093719
DENND3,6.15505139534026,4.981176010571849,131.90680349886577,0.0,0.0,1842.1541575883577
CTB-61M7.2,11.599972344245062,-1.947741115117026,131.52982908993295,0.0,0.0,1835.8168252533376
ADGRG3,12.563446066907096,0.668306769406407,131.09487203985796,0.0,0.0,1832.364430838729
MAST3,4.9881367019987115,4.553591323574843,130.31683469560207,0.0,0.0,1826.0153050066074
CEACAM8,10.953578044979047,-3.742420704047728,130.08856144434793,0.0,0.0,1820.5243324587593
S100A12,14.400851153402757,-1.3049732462660018,128.5335340204184,0.0,0.0,1805.641024933892
LIPN,8.771301319645016,-4.012128572744333,127.51598094608434,0.0,0.0,1794.122317897347
CTC-510F12.4,9.488338965500002,-3.650203433759359,127.03923237264254,0.0,0.0,1789.3626995360505
HBD,13.075188074852008,-2.412147752267015,126.89513746190065,0.0,0.0,1788.3662021181963
MYO1F,7.418940802611666,5.264802960301774,126.77045215467805,0.0,0.0,1789.5633851461535
SLC11A1,9.461372109087844,4.077424438462528,126.49826773671633,0.0,0.0,1786.6028808190788
PHOSPHO1,11.09188651126482,-0.16509262091739674,126.30860184652926,0.0,0.0,1782.9993284765017
FPR1,9.8442354040036,3.9028880477080947,125.60926517963188,0.0,0.0,1777.2675929332418
AC130469.1,9.153293078591894,-2.129474204398912,125.07807384820357,0.0,0.0,1769.5352600076849
DOK3,7.337517397986446,4.146183107973132,124.84204543525543,0.0,0.0,1769.243638185748
FCAR,12.011573908706474,-1.4667834778500273,124.64084633005713,0.0,0.0,1765.166557696999
BEST1,5.94364472881804,2.809801927989612,124.07010740170277,0.0,0.0,1760.704914351991
LILRB3,8.840182822650702,2.6668642704921095,123.76360266481917,0.0,0.0,1757.3999683068412
RHOG,5.204534095801059,6.28132097305798,123.6956601914317,0.0,0.0,1757.233779976817
AC007278.3,9.971165738026706,-3.348833933037758,123.3514043598034,0.0,0.0,1750.8834555252943
HBQ1,11.133088669054173,-3.3383670365141556,122.39344619699135,0.0,0.0,1740.700264819721
LILRA5,10.390881610666106,1.6059889840046362,121.87537492615661,0.0,0.0,1736.8001044963921
PPBP,11.514358877599784,-2.8848491718750147,121.84612450644217,0.0,0.0,1735.0158590065014
XPO6,4.626893262356438,7.404433525336006,121.37980756491116,0.0,0.0,1732.4266015588769
GMIP,5.095976208196186,5.131793374767556,121.3663178877569,0.0,0.0,1732.2408606630854
R3HDM4,4.896201621426838,6.873219156167152,120.46207086548237,0.0,0.0,1722.479505777172
C10orf54,7.473712348675808,5.7989843918547805,120.08152438320978,0.0,0.0,1718.3243536010255
STK10,4.589077705363619,5.745209873977739,120.00560331441454,0.0,0.0,1717.495798552578
CA1,12.461152029042438,-2.830916437806791,119.93162619592653,0.0,0.0,1714.3904185933159
CDA,8.163908855737283,1.8828296086225105,119.73733162157568,0.0,0.0,1713.7827702440907
RNASE3,9.970633729687197,-3.1844652696138755,119.6281447604912,0.0,0.0,1710.9701137554446
ITGAX,7.158421164903608,5.276540980992531,119.62011267066147,0.0,0.0,1713.2750440813836
VNN2,10.997074526126182,2.4006585153066204,119.61725032634693,0.0,0.0,1712.6766605832358
HBG2,13.30349469478023,-2.0356441791148208,119.11569274435021,0.0,0.0,1705.7670649364889
NBEAL2,4.961131349955365,6.653684049870519,118.643465981579,0.0,0.0,1702.588886775466
C5AR1,6.973117252805585,4.401664705211484,118.316838531,0.0,0.0,1698.91506616273
NLRP9P,7.02920126117229,-4.891917880574296,117.75807848112177,0.0,0.0,1689.857744127875
C19orf38,7.540459051046362,1.7650135434766248,116.83093779162556,0.0,0.0,1681.739823832198
NCF4,7.664955438116475,3.930530022646327,116.79670401397658,0.0,0.0,1682.0079493577377
MYL4,8.169790355493367,-0.822475561267865,116.48027491555113,0.0,0.0,1677.0441306009536
SLC25A37,7.139574274673725,6.176194564024587,116.32942787450897,0.0,0.0,1676.915135463398
LINC00671,8.94318821306145,-3.825594176708944,116.19300625320727,0.0,0.0,1672.9415558377711
GYPB,9.04999096314855,-4.423257989012049,116.1509232534032,0.0,0.0,1672.248105188114
PRAM1,7.334870271268159,2.050571461235248,116.09023162896038,0.0,0.0,1673.587415171257
NCF2,7.452918376782694,4.924402800541849,116.07988907753554,0.0,0.0,1674.093502086135
RP11-78B10.2,6.421432806383139,-4.883853413703335,115.88993832682338,0.0,0.0,1669.1657541918876
ZDHHC18,4.659230007457676,5.755078839870345,115.77049750545726,0.0,0.0,1670.647652002553
CSF3R,9.625484090992574,5.823356840476305,115.3790262528604,0.0,0.0,1666.2483812649998
CLC,10.505497142561492,-3.5860419990996277,115.3042933611962,0.0,0.0,1663.0983289580977
CSNK1A1L,6.800655710059124,-4.677440283128369,114.83612260215784,0.0,0.0,1657.4440105969672
IFIT1B,9.8127818934358,-3.4756231029042732,114.50038603848658,0.0,0.0,1654.1006878222477
NTNG2,7.293697660732209,1.2136963040494926,114.39740695876955,0.0,0.0,1654.2534861860474
MOB3A,4.101278346342367,6.176923702410292,113.87745225031368,0.0,0.0,1649.2613841022344
SMAP2,5.375989003684359,6.5371749431782025,113.7361894415303,0.0,0.0,1647.6562366250962
RNF166,5.166482582273341,4.175874140630309,113.66266655588673,0.0,0.0,1646.7407817402789
SH3BP2,4.141618815204598,6.028260099656481,113.57608445588386,0.0,0.0,1645.828201265002
FMNL1,6.089641637961545,5.611753110158727,113.51038140474077,0.0,0.0,1645.0738267793595
LILRA1,7.536685289433587,0.8020292713893566,113.05110532625106,0.0,0.0,1638.825301465057
GPSM3,6.561267128934215,5.239824596113326,112.09374597287592,0.0,0.0,1628.8301678456767
CFP,9.078471764143522,1.6575322787872315,111.58144664520954,0.0,0.0,1622.2385976198157
GLT1D1,10.722516914296705,-0.25704720931376596,111.50692680379214,0.0,0.0,1620.8260252242876
LRRC25,6.663321447128451,3.3609557943773396,111.4594164832054,0.0,0.0,1621.3269310026003
CTD-3088G3.8,8.740121270000953,0.8590791249491162,111.31925229522209,0.0,0.0,1618.9554973845204
RELT,5.778975808300949,3.9076230928709337,111.24433335853568,0.0,0.0,1618.9322481368022
CD300A,6.147396935997664,3.926633208244917,111.13745825313356,0.0,0.0,1617.6962106321912
RIN3,5.608981045009137,4.999485061687045,111.0637867469732,0.0,0.0,1616.9167358178142
CTC-490G23.2,8.796509619671182,-4.15435198905511,110.70278184762137,0.0,0.0,1610.4935945078664
FCGR3B,12.024902988924055,1.8864147879544881,110.66224399839244,0.0,0.0,1611.6712600370658
MPP1,5.413740184824899,4.8641690153344515,110.64342236344903,0.0,0.0,1612.0275917701977
MS4A3,9.568793735555559,-3.747459253587838,110.44937232505329,0.0,0.0,1607.690076301979
ICAM3,6.132584207589751,5.093552564121389,109.84872087535835,0.0,0.0,1602.759325824585
FOLR3,11.426622030510632,-2.5039282020742766,109.79246297718169,0.0,0.0,1600.4108136234047
CXCR1,13.574691132214266,0.2724660881967281,109.67499963446403,0.0,0.0,1599.6831097983163
ARID3B,4.135250574656167,3.4609689114534143,109.31749256770863,0.0,0.0,1596.3884089421608
ARHGAP9,7.81504201080239,3.958543275458006,109.16472124468007,0.0,0.0,1594.6675883256382
ABTB1,6.218268620257032,5.444183195820585,108.9430677047849,0.0,0.0,1592.1305001338112
PHF21A,3.5672225650896605,5.691844136022133,108.7234775746477,0.0,0.0,1589.5439307755912
LINC01001,5.885187088270847,4.6910540685640205,108.68036730877844,0.0,0.0,1589.0147073219914
LINC01002,6.952177820679551,4.336154490415358,108.49660884576555,0.0,0.0,1586.825952353086
CLK3,3.029621046606266,5.55391523013433,107.84864796123864,0.0,0.0,1579.1865128015152
MYBPC3,9.2539164455712,-2.32138432425225,107.46995386189388,0.0,0.0,1573.1371916233104
ELL,3.624095714502995,4.904913201167757,107.28418793839751,0.0,0.0,1572.459359037812
AC007278.2,7.585107835452288,-4.5156797866875955,107.27186065463475,0.0,0.0,1570.1573074422076
SPI1,6.871055050839446,5.259019711082264,107.13241620850145,0.0,0.0,1570.6555932620213
RP11-20D14.6,10.997077802396186,-0.7481636568897366,106.96064329123868,0.0,0.0,1567.4316984372404
CEACAM4,10.219522294866579,-1.1918391615996577,106.91269819990637,0.0,0.0,1566.7730830243422
HMHA1,5.926683343099879,5.673931240519508,106.7595500583506,0.0,0.0,1566.2027498139125
SLC24A4,7.797017621828453,-0.3350838711273896,106.64117162137187,0.0,0.0,1563.698519752129
TFE3,2.970882606147467,6.130318659287739,106.5632167443427,0.0,0.0,1563.853006703949
PTPN6,4.534909683524938,6.1171589560943,106.3641337066942,0.0,0.0,1561.4647578320846
WAS,6.827569894351507,4.063717533387519,106.15375172136864,0.0,0.0,1558.8843106890538
TREML3P,8.909303893072572,-2.93470144945037,106.15278901524582,0.0,0.0,1557.2795416834226
CTB-31N19.3,6.337334218608184,-1.3219132411662777,106.07209891548301,0.0,0.0,1556.6965389859654
PIK3R5,5.995049497531172,3.9210431201556464,105.9599117056062,0.0,0.0,1556.5395118355918
PLCB2,5.825718125117397,4.4289763831478375,105.8099791450733,0.0,0.0,1554.7715500524157
TYK2,3.2803234215376005,6.177702639969438,105.78762157885107,0.0,0.0,1554.529410081996
VSTM1,9.55426394238259,-2.713860476803172,105.78455445800489,0.0,0.0,1552.9200262202123
NDEL1,3.3177961507581033,5.374346532079135,105.70497206160515,0.0,0.0,1553.5288266326145
RNASE2,8.583778780546368,0.5122520784126274,105.47557251061113,0.0,0.0,1549.8979650364754
RNF149,3.8648174512505156,6.1755367155089225,105.42676311284175,0.0,0.0,1550.1733443067906
ARHGEF1,4.271238499344142,6.630788138508741,105.37889823267125,0.0,0.0,1549.595068155061
RP1-55C23.7,6.721221216383071,-4.784103448312705,105.09079628047841,0.0,0.0,1543.9812912476957
IL18RAP,10.570434028603096,0.6233011198492816,105.06677653760234,0.0,0.0,1544.9904646215143
SLC2A3,7.370676979788241,5.962077493184632,105.02897408615075,0.0,0.0,1545.3577232893765
KLF1,8.634343775296482,-1.7905471812650917,105.01463002279229,0.0,0.0,1543.8655278531103
GRK6,4.071554441940295,5.684647985252404,104.69810045368253,0.0,0.0,1541.3410014570875
CCND3,3.9161884205529542,6.306954322341094,104.56249911599622,0.0,0.0,1539.693619855691
DNM2,2.9373713996347144,7.105942453314332,104.40232757462148,0.0,0.0,1537.74378273643
ADGRE3,10.049816471741963,-2.0165305962802185,104.25767569589868,0.0,0.0,1534.6429133507543
DHX34,4.185809094631078,5.304321892186613,104.2469535456875,0.0,0.0,1535.8474965386831
ATG16L2,6.277231621695069,4.982606284038964,103.99279214416028,0.0,0.0,1532.7422336440677
