site_name	status_pval_central_coverage	status_adjusted-p-val_central_coverage	tfx_pval_central_coverage	tfx_adjusted-p-val_central_coverage	log2FC_central_coverage	status_pval_mean_coverage	status_adjusted-p-val_mean_coverage	tfx_pval_mean_coverage	tfx_adjusted-p-val_mean_coverage	log2FC_mean_coverage	status_pval_amplitude	status_adjusted-p-val_amplitude	tfx_pval_amplitude	tfx_adjusted-p-val_amplitude	log2FC_amplitude
AHR.hg38.10000	1.01024642276893e-05	0.0019043145069194331	4.9869211551848396e-08	5.875216485952139e-07	-0.05562728903808067	6.602558158005707e-08	3.5559491793830735e-06	8.528356849326124e-08	7.477187284176625e-07	-0.023474784516419076	0.1753308309193534	0.5517416405497999	0.05673321574010048	0.18927807375237063	-0.12623264271571466
AR.hg38.10000	0.0004145023372839353	0.01736304235067151	0.021590038580705323	0.051843595827553546	-0.04146300709271848	1.0664307723667157e-07	4.715401880574018e-06	1.768410330952855e-05	0.00010101374163170096	-0.015323091863624681	0.7924963187321626	0.9254814212935373	0.6679758147617068	0.832262444589659	0.022473291811855575
ARID3A.hg38.10000	0.03359793634533678	0.17592252780822176	0.169683116717084	0.2830554646121269	-0.01965069916394998	9.58000484431493e-05	0.0016416644665030583	0.20732323200634978	0.3164407225360076	-0.00888517078973134	0.44353431244725516	0.80390594131065	0.8638344999346268	0.944894387852116	0.10061592824037655
ARNT.hg38.10000	0.9093232306915069	0.9676291537246742	0.00021420425094497222	0.0009390116582122619	0.008339613859343165	0.0034418983214629375	0.022372339089509093	0.0023692569628381093	0.007835174342017257	-0.007515125708028457	0.803223465131538	0.9273747981136213	0.11840588044901887	0.3136352662716711	0.002896540980116902
ARNTL.hg38.10000	0.9739465164564718	0.9840510315938183	0.21571461028891936	0.3374456766760274	0.0022457863504193707	0.8389129527187029	0.8760946902353213	0.2685492776553648	0.383842511731966	0.000976842003395921	0.20856491890508677	0.600221178833723	0.3527736879627956	0.5967558584838571	0.17343766507839856
ASCL1.hg38.10000	0.0016160534947353869	0.03384734263973561	0.29641243202330947	0.4331297940805724	-0.0314271280109588	0.40802375461292584	0.5304308809968036	0.7960562567079178	0.8673792161239452	-0.001708465773674106	0.9214375762411643	0.982114587754638	0.22798636074428358	0.44534123316370416	-0.03452818717113885
ASCL2.hg38.10000	0.0037701801856951512	0.061798170869872694	1.43684054457067e-06	1.1285185110482138e-05	-0.04110407424705913	0.0006203262964272627	0.00687832393391406	5.412010633150112e-08	4.976409777311201e-07	-0.015514910456053521	0.9605218583679954	0.9849889041880421	0.1212376837813572	0.3152179778315287	0.03553173310834972
ATF1.hg38.10000	0.0011351309281417634	0.027372880141740514	0.415661110480009	0.5498394338630294	-0.05640540735015249	0.0004800925135255703	0.006033162586638	0.18015555716134463	0.28182010394119056	-0.01583270093252774	0.021023686390939746	0.19331536022888499	8.101109068133228e-08	1.2216472474744905e-06	0.074175763066013
ATF2.hg38.10000	0.3951348277046607	0.686836758572164	0.7350031340017402	0.8078605875179476	0.007728399840231312	0.5403187817999043	0.6345800023008222	0.08101795680398308	0.1447572024412399	0.0017321152790401545	0.6253775053001728	0.8511455577551088	0.9618947987116947	0.9918801950233888	-0.04795171028296961
ATF3.hg38.10000	0.5356935311464699	0.7555938767920853	0.519089167238891	0.6292495692895881	0.006578333762414547	0.9116307447429844	0.9288778128867706	0.5900552523985987	0.7059595740597139	0.0007872646298406816	0.06674143308149519	0.3200201454707789	0.06590153367371637	0.21604241908687888	0.12080019212334116
