overall	Bile_Duct_Cancer	Breast_Cancer	Colorectal_Cancer	Gastric_cancer	Lung_Cancer	Ovarian_Cancer	Pancreatic_Cancer	I	II	III	IV	0-0.03TFx	0.03-0.05TFx	>0.05TFx
0.91616	0.98019	0.94231	0.97985	0.90897	1.00000	0.98077	0.72584	0.88376	0.90842	0.95641	0.96795	0.87534	0.97253	0.99145
0.92785	0.91975	0.94974	0.98765	0.97037	0.96667	0.98395	0.74242	0.97083	0.88468	0.96889	0.97639	0.90597	0.98741	1.00000
0.89190	0.94118	0.90000	0.87451	0.85455	0.99412	0.91597	0.79559	0.84954	0.90493	0.88758	0.98431	0.87035	0.91872	0.97647
0.94337	1.00000	0.93728	0.98280	0.98925	1.00000	0.98925	0.81505	0.98065	0.90173	0.97067	1.00000	0.91763	0.99462	0.99522
0.95567	0.99216	0.93529	0.99059	0.93431	1.00000	0.99031	0.90802	0.98824	0.93029	0.96109	0.98706	0.94848	0.97412	0.97227
0.93832	0.96750	0.92292	0.97917	0.94688	0.98750	0.97981	0.85357	0.95000	0.92406	0.95000	0.98750	0.91071	0.98269	0.99375
0.94592	0.96761	0.93214	0.98063	0.92830	1.00000	0.98122	0.86620	0.96881	0.93719	0.92207	0.98768	0.94247	0.92555	0.98435
0.96147	0.93750	0.96932	0.97969	0.97031	0.97500	0.98077	0.90469	0.95446	0.95581	0.97656	0.98750	0.95024	0.99028	0.99205
0.96484	0.97778	0.96296	0.98217	0.96296	0.99012	0.99551	0.88889	0.97654	0.95238	0.99136	0.96825	0.95547	0.97972	1.00000
0.94444	0.98954	0.95335	0.99496	0.92206	0.98382	0.99647	0.80490	0.96549	0.93389	0.95571	0.93725	0.92982	0.96176	1.00000
0.92849	0.98765	0.89418	0.98196	0.95174	1.00000	0.98765	0.78571	0.91623	0.89839	0.97840	0.99214	0.89178	0.99306	0.97795
0.92881	0.95872	0.94934	0.97256	0.87669	0.99695	0.98659	0.83765	0.88211	0.93664	0.97213	0.98171	0.90572	0.98882	0.97683
0.92024	0.92308	0.94344	0.94615	0.84776	0.98718	0.95897	0.88736	0.86090	0.93496	0.92582	0.96439	0.90526	0.95055	0.95562
0.92078	0.96847	0.91763	0.97748	0.82678	0.98311	0.97568	0.87696	0.88784	0.92668	0.93050	0.96171	0.90401	0.96171	0.94226
0.94374	0.98011	0.98867	0.99367	0.93963	0.98481	0.99770	0.79887	0.90767	0.94515	0.97722	0.96383	0.91383	0.97578	0.99831
0.95832	0.96310	0.93265	0.96857	0.94286	1.00000	0.99286	0.95286	0.96837	0.95560	0.92381	0.99571	0.94784	0.95000	1.00000
0.95777	0.99249	0.98057	0.97973	0.84535	1.00000	0.99263	0.93153	0.90991	0.96473	0.96509	0.98649	0.94780	0.99386	0.96892
0.93460	0.93795	0.96104	0.97258	0.90909	0.98961	0.99882	0.74156	0.89033	0.92919	0.96382	0.99567	0.90816	0.99001	0.98528
0.92950	0.98949	0.90476	0.98348	0.90034	0.98986	0.98348	0.82336	0.84685	0.93962	0.93919	0.96284	0.89903	0.96734	0.99399
0.91558	0.97531	0.87737	0.93313	0.86667	0.97119	0.99118	0.86420	0.87284	0.91534	0.91461	0.96296	0.90480	0.89859	0.99588
0.90899	0.95205	0.93750	0.97652	0.87329	0.96575	0.98239	0.79966	0.85731	0.91048	0.91370	0.98858	0.88628	0.96804	0.97011
0.92754	0.91365	0.96988	0.94217	0.92599	0.99096	0.99598	0.79819	0.90843	0.92369	0.93883	0.98193	0.91682	0.96664	0.93460
0.94684	0.95972	0.92901	0.98016	0.94118	0.98889	0.97500	0.89530	0.90104	0.94815	0.95536	0.99537	0.92146	0.98611	0.99679
0.93591	0.97544	0.91745	0.99064	0.97895	1.00000	0.97661	0.83644	0.97368	0.91310	0.95526	1.00000	0.91251	0.95673	0.99774
0.93984	0.97246	0.90711	0.96739	0.94847	0.99379	0.97947	0.87785	0.92464	0.93511	0.94928	0.98758	0.91929	0.97516	0.98965
0.95655	0.97980	0.95514	0.97944	0.93994	0.99351	0.96404	0.91309	0.96568	0.94805	0.95844	0.97980	0.93914	0.98009	0.99221
