	median	0.025	0.975
overall	0.94317	0.90657	0.96925
Bile_Duct_Cancer	0.97531	0.89888	0.99825
Breast_Cancer	0.94569	0.88750	0.98273
Colorectal_Cancer	0.97847	0.91419	0.99842
Gastric_cancer	0.93328	0.82562	0.99451
Lung_Cancer	0.99586	0.95702	1.00000
Ovarian_Cancer	0.98780	0.95897	1.00000
Pancreatic_Cancer	0.85707	0.72491	0.96033
I	0.93037	0.85099	0.98766
II	0.93571	0.88356	0.97172
III	0.95928	0.89966	0.99167
IV	0.98711	0.93722	1.00000
0-0.03TFx	0.92590	0.87533	0.96131
0.03-0.05TFx	0.97590	0.92130	0.99758
>0.05TFx	0.98996	0.92834	1.00000
