	median	0.025	0.975
overall	0.82965	0.77707	0.87924
Bile_Duct_Cancer	0.95217	0.88530	0.99589
Breast_Cancer	0.83189	0.74351	0.91112
Colorectal_Cancer	0.71966	0.53654	0.88135
Gastric_cancer	0.66455	0.46214	0.83335
Lung_Cancer	0.96937	0.86808	1.00000
Ovarian_Cancer	0.92546	0.85174	0.97500
Pancreatic_Cancer	0.84193	0.71467	0.93430
I	0.81091	0.69137	0.91385
II	0.85440	0.78900	0.91278
III	0.78656	0.63310	0.90447
IV	0.83072	0.66849	0.97248
0_TFx	0.77428	0.68727	0.85511
>0-0.05_TFx	0.84354	0.77164	0.90456
>=0.05_TFx	0.89346	0.77229	0.98538
