overall	Bile_Duct_Cancer	Breast_Cancer	Colorectal_Cancer	Gastric_cancer	Lung_Cancer	Ovarian_Cancer	Pancreatic_Cancer	I	II	III	IV	0_TFx	>0-0.05_TFx	>=0.05_TFx
0.83839	0.96037	0.84455	0.78571	0.61410	0.99573	0.94712	0.82150	0.78291	0.88339	0.79615	0.75481	0.75160	0.82593	0.96838
0.80776	0.93580	0.80159	0.80247	0.55309	0.97500	0.90988	0.76566	0.80069	0.83273	0.77889	0.70139	0.75350	0.82566	0.98611
0.75260	0.93922	0.80420	0.57843	0.45989	0.92353	0.86050	0.83529	0.67307	0.84579	0.57124	0.77647	0.69741	0.76605	0.85359
0.87011	0.99539	0.86679	0.84086	0.67155	0.97204	0.95285	0.85663	0.88656	0.90412	0.76344	0.86918	0.77664	0.91691	0.86977
0.87202	0.98301	0.84265	0.77412	0.76373	0.96078	0.92042	0.89733	0.89346	0.89824	0.75566	0.86706	0.81127	0.87326	0.97227
0.84194	0.95000	0.84861	0.68750	0.75156	0.88125	0.92500	0.81875	0.84474	0.85844	0.82727	0.72250	0.78913	0.84647	0.91607
0.83399	0.98732	0.80794	0.74472	0.62612	0.98592	0.96244	0.82042	0.88531	0.84203	0.74930	0.85035	0.79211	0.83751	0.93427
0.86644	0.95250	0.88523	0.60781	0.76875	0.95938	0.90577	0.95312	0.83750	0.89041	0.92031	0.69643	0.83523	0.87687	0.89091
0.83372	0.94815	0.81827	0.74211	0.64198	0.99012	0.96072	0.81207	0.82037	0.85097	0.85062	0.74427	0.80658	0.81654	0.99726
0.86549	0.98824	0.83327	0.80168	0.75735	0.94706	0.93765	0.84608	0.85725	0.86275	0.86090	0.90065	0.79104	0.87715	0.96118
0.80006	0.95062	0.78219	0.76353	0.61055	0.98148	0.93004	0.73633	0.69400	0.81418	0.80556	0.86195	0.79012	0.75245	0.94974
0.84904	0.94934	0.86492	0.65549	0.63279	0.97561	0.97195	0.85518	0.80556	0.88918	0.76132	0.81098	0.84381	0.85751	0.83049
0.78473	0.92890	0.74736	0.60385	0.64663	0.99817	0.91538	0.78846	0.75321	0.83927	0.65385	0.85470	0.75420	0.78322	0.85799
0.82308	0.93694	0.87066	0.60811	0.46069	0.98311	0.87703	0.88691	0.70946	0.90943	0.67857	0.86261	0.78006	0.83094	0.90295
0.87131	0.96835	0.93671	0.68354	0.70594	0.98734	0.89413	0.90436	0.71705	0.91608	0.84304	0.92405	0.84230	0.86845	0.92743
0.87241	0.95119	0.83469	0.79857	0.61905	0.98000	0.93214	0.96857	0.82041	0.91274	0.77619	0.91143	0.77338	0.88340	0.99898
0.87012	0.97147	0.85811	0.82939	0.66066	0.96622	0.93735	0.89459	0.83221	0.90574	0.81081	0.82819	0.80480	0.89691	0.95270
0.80427	0.90332	0.80430	0.69553	0.72338	0.91429	0.92798	0.68312	0.86147	0.77706	0.76252	0.90765	0.77696	0.79729	0.86753
0.81276	0.95045	0.85843	0.64565	0.68074	1.00000	0.84535	0.87162	0.74887	0.86486	0.70045	0.78491	0.76455	0.82848	0.84835
0.81645	0.94885	0.82881	0.69444	0.56420	0.97531	0.93651	0.90617	0.79630	0.85432	0.66667	0.89383	0.73560	0.83139	0.97394
0.78420	0.90685	0.78082	0.70841	0.61187	0.90753	0.92368	0.76798	0.76826	0.82001	0.69315	0.72374	0.79452	0.76496	0.82814
0.82865	0.93574	0.86386	0.78072	0.69363	0.96084	0.93976	0.81426	0.70120	0.87149	0.83040	0.98193	0.76707	0.85542	0.84509
0.78704	0.91111	0.86420	0.54861	0.64461	0.99444	0.94306	0.82799	0.68403	0.84506	0.72421	0.79012	0.69891	0.82156	0.85470
0.84830	0.97778	0.81551	0.82690	0.67218	1.00000	0.93216	0.83482	0.82526	0.83550	0.81316	1.00000	0.84266	0.79489	0.98947
0.80890	0.94638	0.81686	0.66546	0.59420	0.96687	0.89976	0.80228	0.69928	0.86133	0.88509	0.71222	0.74783	0.82732	0.85611
0.85313	0.96392	0.85419	0.72835	0.72240	0.94481	0.90609	0.88911	0.87384	0.88040	0.82511	0.73737	0.75130	0.88255	0.89870
0.84829	0.95775	0.78041	0.79401	0.74804	0.83451	0.90845	0.90728	0.83617	0.84802	0.83903	0.88498	0.82522	0.84451	0.91165
0.83216	0.94846	0.73224	0.90954	0.67544	1.00000	0.92510	0.83097	0.85444	0.85890	0.64327	0.91228	0.74079	0.85274	0.88947
0.85453	0.95506	0.86217	0.74668	0.62297	0.98315	0.92616	0.91413	0.84071	0.88136	0.87208	0.76904	0.79367	0.86380	0.93446
0.79203	0.91781	0.78795	0.61035	0.55556	0.91389	0.85181	0.86301	0.79019	0.83957	0.70462	0.70377	0.74866	0.81586	0.77345
0.82003	0.92593	0.84897	0.73188	0.64783	0.95652	0.85797	0.84348	0.74203	0.83465	0.83092	0.85093	0.75785	0.82645	0.90242
0.80000	0.98095	0.85333	0.56800	0.56667	0.98889	0.89630	0.87273	0.78667	0.85295	0.70286	0.82222	0.77156	0.82270	0.73600
0.80756	0.95218	0.88997	0.67779	0.57215	0.93418	0.86881	0.81266	0.68716	0.86366	0.65823	0.77722	0.69500	0.83376	0.89873
0.83057	0.96477	0.76842	0.85104	0.65114	0.97679	0.88375	0.82115	0.82437	0.87976	0.63854	0.91875	0.76302	0.84477	0.89375
0.82949	0.90536	0.87031	0.67404	0.68750	0.95714	0.89375	0.83750	0.80625	0.85929	0.78393	0.82639	0.74815	0.85844	0.92386
0.83213	0.97353	0.86076	0.74810	0.48907	0.99747	0.96397	0.81118	0.82630	0.85952	0.79649	0.83544	0.81487	0.83266	0.87089
0.84303	0.96230	0.83862	0.67177	0.79932	0.98016	0.92460	0.87245	0.80952	0.87594	0.56250	0.87302	0.82576	0.83408	0.88467
0.85840	0.98707	0.85143	0.53305	0.89327	0.94253	0.94109	0.90805	0.84751	0.85422	0.85977	0.97989	0.82863	0.88448	0.81954
0.84584	0.94836	0.85669	0.82865	0.65524	0.95482	0.87590	0.85357	0.84596	0.87140	0.83052	0.75703	0.78269	0.88135	0.85301
0.81438	0.92500	0.84196	0.67875	0.54107	0.95500	0.86705	0.84531	0.81827	0.83983	0.79464	0.76806	0.73750	0.84088	0.85667
0.84790	0.92989	0.82449	0.88736	0.58621	1.00000	0.93534	0.82493	0.85134	0.86590	0.64943	0.87739	0.84558	0.81665	0.99617
0.79907	0.90417	0.76696	0.51875	0.62778	0.91875	0.89722	0.87981	0.80000	0.85344	0.62917	0.63438	0.66579	0.84132	0.88333
0.82349	0.98667	0.86400	0.43333	0.61524	0.96444	0.94667	0.79905	0.83417	0.84250	0.79152	0.80500	0.75294	0.84667	0.81949
0.85401	0.99583	0.80789	0.79375	0.80208	0.85417	0.88864	0.90962	0.85865	0.86280	0.80568	0.87727	0.81979	0.86699	0.87500
0.84020	0.99206	0.85536	0.68386	0.54233	0.98639	0.94643	0.85020	0.91369	0.86147	0.70899	0.79464	0.80622	0.84312	0.87222
