group	AUC	high_tfx	low_tfx	overall
		0.98214	0.56667	0.93474
		0.93233	0.74603	0.88265
		0.95714	0.75000	0.93185
		0.94375	0.72000	0.91619
		0.97159	0.63265	0.90855
		0.97222	0.71667	0.91246
		0.95439	0.44444	0.90893
		0.97778	0.80952	0.95538
		0.91111	0.90476	0.91204
		0.94837	0.64286	0.90667
		0.90977	0.90000	0.91231
		0.93734	0.85417	0.92828
		0.91912	0.40000	0.87685
		0.94444	0.81429	0.91862
		0.96491	0.72222	0.89683
		0.91498	0.80952	0.88600
		0.94737	0.75000	0.91639
		0.95956	0.56250	0.88889
		0.96491	0.67500	0.92468
		0.88750	0.70130	0.82557
		0.97222	0.61728	0.90794
		0.90179	0.87037	0.89921
		0.96023	0.68750	0.90247
		0.96131	1.00000	0.96875
		0.84848	0.90625	0.86957
		0.97354	0.66667	0.93810
		0.94853	0.85000	0.92992
		0.93304	0.75000	0.90210
		0.92273	0.79167	0.91272
		0.97784	0.50000	0.92833
		0.98148	0.33929	0.86759
		0.92708	0.75000	0.88462
		0.98182	0.72222	0.91244
		0.96257	0.44444	0.89247
		0.96759	0.80519	0.92522
		0.97959	0.80000	0.94079
		0.97917	0.52778	0.87585
		0.95625	0.56250	0.89610
		0.92857	0.75000	0.88836
		0.93519	0.68182	0.88715
		0.98052	0.56364	0.89630
		0.99242	0.80000	0.96289
		1.00000	0.80952	0.97876
		0.95625	0.65909	0.90222
		0.92763	0.92857	0.93681
		0.94737	0.88000	0.94032
		0.92698	0.62963	0.87778
		0.85948	0.45455	0.82143
		0.86538	0.90476	0.87524
		1.00000	0.96000	0.97649
		1.00000	0.73214	0.96714
		0.88927	0.56250	0.82880
		0.97059	0.52500	0.91652
		0.95455	0.72222	0.91756
		0.91111	0.68519	0.86325
		0.92857	0.73333	0.88017
		0.99750	0.85000	0.97778
		0.96667	0.86905	0.92181
		0.91319	0.58333	0.87652
		0.97647	0.81818	0.94697
		0.95536	0.61905	0.91071
		0.97544	0.55556	0.92190
		0.95202	0.86667	0.93452
		0.94293	0.75000	0.91202
		0.97500	0.93333	0.96552
		0.98684	0.80000	0.96000
		0.93651	0.75000	0.91883
		0.99412	0.64286	0.96120
		0.92244	0.80000	0.90333
		0.94293	0.58000	0.86676
		0.99160	0.81818	0.96182
		0.98319	0.64286	0.91146
		0.92424	0.85185	0.91556
		0.92698	0.77778	0.93052
		0.90530	0.84000	0.90166
		0.93609	0.91667	0.93548
		0.99444	0.50000	0.95485
		0.92328	0.80000	0.90308
		0.98438	0.69231	0.93103
		0.89412	0.92500	0.90095
		0.95322	0.78571	0.92000
		0.95652	0.67500	0.91742
		0.93571	0.75000	0.88447
		0.93557	0.70130	0.87628
		0.94902	0.79167	0.91810
		0.89583	0.69444	0.87857
		0.93320	0.90000	0.93429
		0.94737	0.69444	0.90994
		0.98000	0.75000	0.94022
		0.97619	0.83333	0.92500
		0.94250	0.54688	0.89520
		0.96000	0.38462	0.86957
		1.00000	0.75000	0.97190
		0.93600	0.55556	0.90179
		0.89375	0.77500	0.87088
		0.97500	0.67857	0.93416
		0.93537	0.80952	0.92017
		0.99412	1.00000	0.99060
		0.98398	0.95833	0.95742
		0.93611	0.80556	0.93478
		0.88816	0.61905	0.84266
		0.96232	0.76190	0.92222
		0.93464	0.91667	0.93659
		0.97025	0.93333	0.95977
		0.98864	0.33333	0.91680
		0.93889	0.66667	0.88166
		0.96000	1.00000	0.94792
		0.90000	0.54545	0.84429
		0.98677	0.59259	0.93175
		0.98421	0.71429	0.92115
		0.98355	0.80000	0.96082
		0.96061	0.78125	0.93478
		1.00000	0.66667	0.95167
		0.99020	0.75385	0.95015
		0.93750	0.66667	0.88281
		0.89545	0.59524	0.82986
		0.95752	0.65625	0.91273
		0.90509	0.77778	0.90635
		0.98190	0.87143	0.95109
		0.92000	0.77083	0.90385
		0.97917	0.76364	0.93732
		0.96537	0.88571	0.94841
		0.94474	0.41667	0.90293
		0.89206	0.69444	0.87000
		0.93583	0.56667	0.87834
		0.95029	0.61111	0.91288
		0.95215	0.75000	0.91440
		0.95455	0.75000	0.94032
