group	accuracy	high_tfx	low_tfx	overall
		0.91892	0.45455	0.81250
		0.84848	0.75000	0.81633
		0.90244	0.63636	0.84615
		0.91667	0.80000	0.89130
		0.92105	0.57143	0.82692
		0.84848	0.75000	0.81633
		0.94118	0.35714	0.77083
		0.94737	0.76923	0.90196
		0.89474	0.84615	0.88235
		0.87179	0.54545	0.80000
		0.87500	0.81818	0.86275
		0.92500	0.78571	0.88889
		0.90244	0.55556	0.84000
		0.86486	0.76471	0.83333
		0.91176	0.66667	0.81818
		0.90625	0.69231	0.84444
		0.89744	0.60000	0.83673
		0.90909	0.66667	0.84444
		0.89189	0.46154	0.78000
		0.77500	0.72222	0.75862
		0.96970	0.50000	0.80392
		0.93333	0.73333	0.86667
		0.86842	0.68750	0.81481
		0.94595	0.66667	0.87755
		0.83784	0.75000	0.81633
		0.89744	0.66667	0.84314
		0.90909	0.69231	0.84783
		0.93333	0.66667	0.83333
		0.85714	0.60000	0.80769
		0.94737	0.63636	0.87755
		0.94872	0.26667	0.75926
		0.85294	0.62500	0.78000
		0.94595	0.73333	0.88462
		0.92308	0.46154	0.80769
		0.93333	0.77778	0.87500
		0.96429	0.80000	0.90698
		0.93548	0.61111	0.81633
		0.91667	0.50000	0.80000
		0.82051	0.84615	0.82692
		0.88889	0.80000	0.86275
		0.88889	0.56250	0.78846
		0.97059	0.64286	0.87500
		0.97143	0.88235	0.94231
		0.88636	0.52632	0.77778
		0.88571	0.89474	0.88889
		0.87500	0.80000	0.85455
		0.88889	0.66667	0.82353
		0.82857	0.30769	0.68750
		0.84848	0.84615	0.84783
		0.97222	0.60000	0.86275
		0.92105	0.66667	0.84906
		0.88235	0.56250	0.78000
		0.97143	0.53846	0.85417
		0.88372	0.66667	0.82759
		0.86842	0.60000	0.79245
		0.77419	0.53846	0.70455
		0.92500	0.71429	0.87037
		0.85714	0.84211	0.85185
		0.88235	0.54545	0.80000
		0.90476	0.81250	0.87931
		0.91892	0.61538	0.84000
		0.97059	0.50000	0.84783
		0.92500	0.84615	0.90566
		0.89744	0.78571	0.86792
		0.89744	0.90909	0.90000
		0.92308	0.68750	0.85455
		0.94872	0.72727	0.90000
		0.91892	0.63636	0.85417
		0.86842	0.63636	0.81633
		0.89744	0.60000	0.81481
		0.90323	0.62500	0.80851
		0.93548	0.64706	0.83333
		0.90000	0.66667	0.84615
		0.89130	0.72727	0.85965
		0.82609	0.70000	0.80357
		0.90909	0.84211	0.88462
		0.92105	0.63636	0.85714
		0.87179	0.83333	0.86275
		0.91667	0.82353	0.88679
		0.81250	0.71429	0.78261
		0.89189	0.76923	0.86000
		0.93023	0.69231	0.87500
		0.88235	0.66667	0.82609
		0.84211	0.72222	0.80357
		0.87500	0.64286	0.80435
		0.82500	0.53846	0.75472
		0.86667	0.76923	0.84483
		0.84211	0.61538	0.78431
		0.91429	0.75000	0.87234
		0.86486	0.84615	0.86000
		0.92683	0.50000	0.80702
		0.88571	0.43750	0.74510
		0.97778	0.54545	0.89286
		0.87500	0.75000	0.84615
		0.89286	0.84615	0.87805
		0.91176	0.54545	0.82222
		0.85714	0.70000	0.82222
		0.94595	0.90000	0.93617
		0.90476	0.71429	0.85714
		0.89474	0.86667	0.88679
		0.82857	0.69231	0.79167
		0.89474	0.81250	0.87037
		0.91429	0.75000	0.87234
		0.92857	0.81818	0.90566
		0.94737	0.50000	0.84000
		0.89474	0.71429	0.84615
		0.91667	0.87500	0.91071
