group	mean	lower	upper	metric
0_TFx	0.8088554023687231	0.729920584045584	0.8778634039244886	AUC
>0-0.05_TFx	0.895761145103162	0.8375498846417659	0.9459464908456844	AUC
>=0.05_TFx	0.9585722163886548	0.8546511627906977	1.0	AUC
Bile_Duct_Cancer	0.914002511815436	0.8163035417655434	0.9887715063202247	AUC
Breast_Cancer	0.8527245521532316	0.7689997433467581	0.9319580696202531	AUC
Colorectal_Cancer	0.8581583303199022	0.7371212979094077	0.9691444966092854	AUC
Gastric_cancer	0.8323304048829848	0.6810147545919905	0.9682539682539681	AUC
I	0.8531894175506931	0.7395454722743583	0.9382645443534915	AUC
I 	0.9595376681095015	0.843342151675485	1.0	AUC
II	0.8569535941965812	0.7912922315926885	0.9152627513735009	AUC
III	0.8559149614151651	0.7304669893273765	0.958637856396477	AUC
IV	0.9442113152949594	0.8571340388007055	0.9964296737213404	AUC
Lung_Cancer	0.8963729148540048	0.7191138357256779	1.0	AUC
Ovarian_Cancer	0.9426344422013164	0.8677202588352414	0.9883778904127742	AUC
Pancreatic_Cancer	0.8164091501920451	0.6891383547008547	0.9315824915824915	AUC
overall	0.866774707578386	0.8188035192147034	0.9098483522682268	AUC
