overall	Bile_Duct_Cancer	Breast_Cancer	Colorectal_Cancer	Gastric_cancer	Lung_Cancer	Ovarian_Cancer	Pancreatic_Cancer	I	II	III	IV	0_TFx	>0-0.05_TFx	>=0.05_TFx
0.88293	0.97203	0.89370	0.93040	0.80385	0.99145	0.92468	0.77219	0.88120	0.87546	0.91795	0.87340	0.81090	0.87721	0.97692
0.86971	0.90370	0.85873	0.82963	0.78642	0.87500	0.97654	0.86263	0.83958	0.87988	0.88333	0.85417	0.82346	0.89048	0.96389
0.76795	0.87941	0.90756	0.57647	0.59572	0.93529	0.74790	0.78529	0.63839	0.83816	0.79346	0.80392	0.69176	0.80538	0.83399
0.86323	0.98310	0.89606	0.88387	0.73705	0.99570	0.90323	0.76559	0.86398	0.86529	0.85044	0.84229	0.79521	0.87879	0.95341
0.83113	0.89281	0.77598	0.85882	0.76863	0.87843	0.90657	0.81497	0.85882	0.81824	0.78914	0.87059	0.73186	0.84866	0.94622
0.87977	0.89875	0.89931	0.86389	0.88281	0.99062	0.92308	0.77768	0.87829	0.86375	0.92386	0.89750	0.83641	0.87756	0.95714
0.82779	0.83239	0.82202	0.84331	0.74776	0.99648	0.91432	0.71831	0.86620	0.81424	0.79718	0.87148	0.77972	0.84026	0.90454
0.82774	0.85000	0.87216	0.77187	0.70312	0.81875	0.88654	0.76719	0.72143	0.86977	0.83438	0.75000	0.71136	0.86719	0.91705
0.84279	0.86173	0.85728	0.83128	0.71975	0.96543	0.86195	0.83813	0.79136	0.85097	0.96049	0.77249	0.79287	0.84180	0.99726
0.84777	0.89542	0.91684	0.67563	0.83088	0.92353	0.94235	0.62745	0.80235	0.84566	0.84083	0.94641	0.68347	0.88959	0.97529
0.82155	0.87346	0.88183	0.86135	0.67116	0.97222	0.95473	0.66931	0.75485	0.80817	0.86111	0.91246	0.69959	0.85470	0.93827
0.81987	0.86023	0.86961	0.74390	0.58808	0.98780	0.98171	0.76067	0.80420	0.84358	0.79965	0.70122	0.78283	0.83986	0.84024
0.83453	0.91841	0.90799	0.71667	0.73317	0.98901	0.89103	0.75000	0.75705	0.86679	0.81410	0.94302	0.76658	0.87092	0.86292
0.82401	0.87387	0.82561	0.82207	0.65725	0.89189	0.89730	0.81935	0.76757	0.85221	0.79344	0.86261	0.78705	0.82547	0.91523
0.89550	0.93490	0.94937	0.94810	0.81402	0.95443	0.95282	0.78622	0.80715	0.92007	0.87215	0.92948	0.86023	0.88732	0.97975
0.83992	0.80238	0.83469	0.83571	0.76190	0.98000	0.90893	0.80571	0.80510	0.83436	0.83690	0.91286	0.77078	0.85753	0.90204
0.89902	0.98799	0.91554	0.90034	0.79880	0.98649	0.99509	0.79369	0.90766	0.90343	0.84797	0.94595	0.85435	0.90927	0.98378
0.85575	0.76046	0.88804	0.90476	0.77143	0.91948	0.94923	0.73896	0.81818	0.85405	0.87477	0.93795	0.83569	0.83964	0.93593
0.85249	0.82583	0.87773	0.88814	0.76520	0.90878	0.91441	0.77992	0.72973	0.88039	0.81869	0.89977	0.75052	0.88912	0.92042
0.85530	0.88889	0.83210	0.81996	0.82469	0.88683	0.89594	0.87778	0.76296	0.89030	0.81584	0.88519	0.76132	0.88889	0.97531
0.76938	0.90000	0.81592	0.76712	0.64269	0.88699	0.87084	0.64983	0.69064	0.79994	0.72877	0.79680	0.75799	0.77217	0.78456
0.83049	0.86948	0.90723	0.85904	0.73752	0.93976	0.98795	0.65261	0.78394	0.84368	0.80723	0.99398	0.77797	0.85159	0.85542
0.81210	0.88750	0.87423	0.78869	0.62173	0.96111	0.88611	0.82799	0.70312	0.88272	0.75694	0.82870	0.74306	0.83756	0.87073
0.89938	0.92865	0.91080	0.93099	0.86767	0.99474	0.96140	0.80000	0.88316	0.88176	0.93421	0.99098	0.87147	0.88662	0.96917
0.84496	0.89855	0.90316	0.70652	0.60709	0.99172	0.92874	0.84161	0.73406	0.91008	0.85093	0.80124	0.75594	0.86926	0.92236
0.88584	0.91631	0.87957	0.90260	0.84091	0.98377	0.91109	0.83217	0.94527	0.89459	0.82684	0.84993	0.83831	0.89328	0.92641
0.81283	0.97887	0.82138	0.87500	0.68388	0.97887	0.79812	0.68075	0.77910	0.81788	0.81791	0.84038	0.74904	0.82141	0.90141
0.86361	0.91118	0.85987	0.84539	0.81140	0.97368	0.96356	0.74899	0.88816	0.86226	0.73538	0.95175	0.77895	0.87906	0.92807
0.89154	0.87921	0.89588	0.86721	0.87391	1.00000	0.96148	0.82343	0.90020	0.84831	0.96802	0.94007	0.85138	0.91066	0.89981
0.80246	0.79110	0.79671	0.79300	0.81735	0.90607	0.89664	0.71954	0.73973	0.81248	0.81935	0.86130	0.73615	0.81217	0.88093
0.83948	0.87118	0.90465	0.88043	0.68261	0.98551	0.91449	0.72077	0.77585	0.84453	0.80918	0.97308	0.72222	0.87138	0.94203
0.81944	0.81905	0.82500	0.87467	0.72556	0.95556	0.93037	0.68242	0.79111	0.85905	0.73333	0.88000	0.72444	0.83376	0.89467
0.75389	0.82560	0.87244	0.72612	0.72152	0.73671	0.88262	0.60949	0.50814	0.79325	0.69831	0.91772	0.64014	0.78003	0.84713
0.82214	0.88864	0.80395	0.93854	0.63295	0.94107	0.84500	0.76346	0.80375	0.84167	0.77604	0.86562	0.76510	0.82878	0.88984
