	median	0.025	0.975
overall	0.91994	0.81987	0.95817
Bile_Duct_Cancer	0.96526	0.88616	0.99723
Breast_Cancer	0.91617	0.81142	0.96845
Colorectal_Cancer	0.94144	0.65647	0.99446
Gastric_cancer	0.90665	0.64979	0.98878
Lung_Cancer	0.99280	0.94546	1.00000
Ovarian_Cancer	0.98041	0.91003	0.99863
Pancreatic_Cancer	0.82621	0.68104	0.93688
I	0.89831	0.76154	0.97713
II	0.91409	0.82659	0.95812
III	0.93257	0.76721	0.98677
IV	0.97550	0.78360	1.00000
0-0.03TFx	0.90093	0.79536	0.94746
0.03-0.05TFx	0.94770	0.81097	0.99412
>0.05TFx	0.97909	0.83872	1.00000
