overall	Bile_Duct_Cancer	Breast_Cancer	Colorectal_Cancer	Gastric_cancer	Lung_Cancer	Ovarian_Cancer	Pancreatic_Cancer	I	II	III	IV	0-0.03TFx	0.03-0.05TFx	>0.05TFx
0.79437	0.94988	0.82746	0.75275	0.50128	1.00000	0.97917	0.68836	0.77179	0.84463	0.75128	0.67949	0.74986	0.79304	0.93504
0.89787	0.98148	0.87302	0.89012	0.88395	0.98611	0.99753	0.77172	0.92569	0.87988	0.87778	0.93194	0.87263	0.96444	0.98889
0.72839	0.93431	0.86555	0.50588	0.43102	0.98235	0.82353	0.67794	0.59876	0.82925	0.58301	0.83529	0.72845	0.73690	0.71765
0.93520	0.99078	0.91039	0.96129	0.98436	1.00000	0.98925	0.82151	0.97097	0.89277	0.96872	0.98746	0.90516	0.99395	0.99761
0.91908	0.99477	0.87990	0.94118	0.91569	0.99216	0.96955	0.83102	0.95752	0.88794	0.92851	0.95412	0.90081	0.93412	0.98403
0.83914	0.92500	0.90278	0.66528	0.66250	0.97813	0.93750	0.77768	0.86118	0.84781	0.84432	0.70500	0.79107	0.93269	0.92054
0.86573	0.93099	0.84891	0.75880	0.86428	0.96127	0.96714	0.73944	0.91348	0.83632	0.85446	0.92958	0.87014	0.73642	0.93740
0.93356	0.97250	0.91364	0.95625	0.93125	0.94375	0.95000	0.88750	0.89464	0.93547	0.95781	0.96250	0.91439	0.97083	0.99545
0.93561	0.99506	0.91111	0.90535	0.94815	0.98025	0.99551	0.85597	0.93025	0.92328	0.96667	0.98060	0.92571	0.93386	1.00000
0.94826	0.97516	0.96511	0.96975	0.96029	0.98529	0.99765	0.80098	0.94275	0.93361	0.96817	0.98824	0.93230	0.97353	0.99882
0.89851	0.96399	0.88448	0.98575	0.90236	0.99383	0.97942	0.69312	0.89947	0.86356	0.92078	0.98990	0.85080	0.95370	0.99559
0.90606	0.95310	0.92214	0.86585	0.89431	0.99390	0.99024	0.80107	0.84485	0.93001	0.88850	0.92073	0.88485	0.97154	0.93780
0.87627	0.96270	0.87934	0.83718	0.82933	0.98352	0.96538	0.76007	0.85128	0.88399	0.87363	0.87322	0.85332	0.91209	0.94181
0.84560	0.90901	0.83912	0.79279	0.61916	1.00000	0.99730	0.83001	0.82568	0.87522	0.74324	0.91892	0.82316	0.86486	0.93243
0.91899	0.97288	0.98401	0.97722	0.86465	0.98481	0.97929	0.76020	0.84885	0.93296	0.91013	0.97107	0.88437	0.94606	0.99747
0.95166	0.96190	0.91361	0.96857	0.98571	0.99429	0.97679	0.93571	0.96020	0.94093	0.93690	0.99714	0.94518	0.93036	0.99592
0.93994	0.99249	0.95608	0.96453	0.89189	0.99662	0.99631	0.85045	0.90991	0.93968	0.94707	0.98069	0.92395	0.97052	0.98784
0.92873	0.93362	0.93686	0.98557	0.90130	0.99221	0.99882	0.76104	0.90404	0.91775	0.94620	0.99423	0.90213	0.97403	0.98874
0.89613	0.96997	0.86680	0.88889	0.94257	0.98311	0.95646	0.81178	0.81982	0.90569	0.89302	0.93806	0.86818	0.95833	0.93694
0.87346	0.95062	0.87737	0.85185	0.68395	0.99383	0.99118	0.86173	0.83580	0.89771	0.80144	0.97407	0.86200	0.83422	0.99177
0.83768	0.93973	0.82449	0.82583	0.83562	0.95548	0.96086	0.70034	0.81621	0.83817	0.85342	0.86301	0.81365	0.91020	0.89415
0.93072	0.94177	0.95602	0.96386	0.93115	0.97289	0.98594	0.81325	0.91165	0.93173	0.92956	0.98193	0.91891	0.96108	0.96213
0.92209	0.96111	0.90509	0.90476	0.93301	0.98333	0.97639	0.85470	0.85330	0.93056	0.91865	0.98457	0.89722	0.96272	0.96795
0.93963	0.98480	0.94571	0.98830	0.97293	1.00000	0.99064	0.80324	0.97789	0.91285	0.98289	1.00000	0.91789	0.95789	0.99774
0.90512	0.97101	0.88142	0.87802	0.93559	0.99379	0.97705	0.79296	0.88841	0.89723	0.93375	0.93168	0.89355	0.92650	0.93168
0.90637	0.93074	0.90555	0.88745	0.94643	0.98701	0.94505	0.82018	0.91280	0.90214	0.90823	0.91342	0.88057	0.96883	0.93160
0.93501	0.96479	0.91741	0.98415	0.79499	1.00000	0.96870	0.94249	0.94070	0.92827	0.91751	0.99531	0.92853	0.94836	0.94494
0.92314	0.98246	0.91645	0.88980	0.92873	0.98246	0.98279	0.81478	0.92270	0.91797	0.89912	0.96637	0.90211	0.93885	0.97544
0.95146	0.98174	0.90861	0.94688	0.99126	1.00000	0.98154	0.91413	0.95572	0.92201	0.99222	0.98502	0.93589	0.97378	0.99532
0.92279	0.94692	0.93315	0.92542	0.91933	0.97260	0.98007	0.84787	0.92286	0.91142	0.93408	0.96404	0.90967	0.96887	0.94837
0.89415	0.91465	0.93516	0.95169	0.84638	0.99638	0.97246	0.73623	0.88599	0.87780	0.90338	0.98344	0.87263	0.88043	0.97971
0.93704	0.96571	0.94583	0.97600	0.89222	0.99556	0.97926	0.84727	0.88622	0.94705	0.94476	0.98000	0.92199	0.95289	0.98400
0.91187	0.96203	0.93768	0.97468	0.91013	0.95696	0.97583	0.79241	0.84991	0.91060	0.93038	0.98481	0.87962	0.95681	0.97468
0.91175	0.95114	0.86974	0.98125	0.93068	0.98571	0.95750	0.78462	0.88000	0.90565	0.94063	0.97031	0.88048	0.97750	0.98203
0.90849	0.94821	0.92292	0.89615	0.90714	0.98214	0.96094	0.79271	0.90139	0.89000	0.93125	0.94444	0.89035	0.92500	0.98750
0.87538	0.91715	0.89331	0.80253	0.84350	0.92152	0.91821	0.81962	0.81294	0.88299	0.92502	0.87917	0.86007	0.89340	0.92532
0.93861	0.97321	0.90146	0.96003	0.94728	0.99206	0.96429	0.86735	0.88515	0.94831	0.99107	0.96429	0.90854	0.98352	0.97917
0.94860	0.96408	0.95019	0.91236	0.90805	1.00000	0.99282	0.93939	0.90268	0.95234	0.98391	1.00000	0.94717	0.95862	0.94598
0.92931	0.95525	0.93912	0.97590	0.92864	0.99699	0.96747	0.79981	0.94750	0.91514	0.92771	0.98193	0.90942	0.95606	0.99518
0.93613	0.96125	0.94911	0.95875	0.94107	0.99250	0.97727	0.84688	0.91731	0.92936	0.98214	0.95278	0.91463	0.95341	0.99083
0.94017	0.95057	0.97569	0.99310	0.92337	1.00000	1.00000	0.78868	0.99617	0.91954	0.88697	0.99808	0.92997	0.94138	1.00000
0.90448	0.92604	0.87768	0.87500	0.96250	0.99062	0.96389	0.81923	0.92321	0.90000	0.89306	0.90938	0.87697	0.96471	0.90625
0.90810	0.99167	0.94560	0.73667	0.87714	0.99333	0.98333	0.76571	0.92333	0.90139	0.86303	0.97000	0.89231	0.92632	0.94462
0.94631	0.98750	0.92829	0.99125	0.92917	0.99583	0.98864	0.87212	0.96827	0.93201	0.91818	0.99205	0.92806	0.95804	0.99500
0.95498	0.98942	0.93095	0.98413	0.96561	0.98299	0.97619	0.90179	0.93378	0.95833	0.96164	0.96577	0.93786	0.97527	0.99444
0.93708	0.97078	0.97475	0.89899	0.89425	0.99567	0.98801	0.84915	0.90837	0.95682	0.86851	0.99026	0.93478	0.90709	0.97835
0.94910	1.00000	0.93967	0.96964	0.93889	1.00000	0.99062	0.88333	0.92188	0.94309	0.96607	0.98472	0.93437	0.97788	0.98125
0.96314	0.96139	0.96979	0.98337	0.99099	1.00000	0.98771	0.87734	0.97297	0.94426	0.98423	0.99324	0.94886	0.98337	0.99896
0.90805	0.96444	0.92471	0.95758	0.81333	0.98667	0.96381	0.81143	0.92333	0.90543	0.84800	0.94788	0.88974	0.89067	0.98311
0.92998	0.99012	0.91287	0.87172	0.91204	0.99722	0.99861	0.90247	0.85407	0.95936	0.89596	0.97407	0.90856	0.98704	0.95641
0.90038	0.74545	0.85818	0.95904	0.94661	0.98701	0.99513	0.86147	0.95277	0.87532	0.90990	1.00000	0.87853	0.91908	0.97294
0.94484	0.97973	0.96321	0.98874	0.92204	0.98649	0.98263	0.81757	0.79279	0.96019	0.96216	0.98894	0.92624	0.96959	1.00000
0.95408	0.95154	0.94858	0.96064	0.97568		0.99392	0.91253	0.93126	0.95426	0.96702	0.97234	0.93890	0.98356	0.98085
0.90556	0.94684	0.92791	0.99169	0.82752	0.99709	0.96691	0.73953	0.89784	0.89780	0.93658	0.93256	0.89469	0.89729	0.98062
0.92159	0.94369	0.93986	0.93243	0.84084	1.00000	0.98649	0.84865	0.85521	0.92331	0.93919	0.98311	0.90514	0.93726	0.97789
0.84225	0.93519	0.81305	0.82346	0.89877	0.99506	0.92044	0.72134	0.81070	0.82660	0.93210	0.88580	0.80524	0.93580	0.90978
0.92502	0.89185	0.92000	0.96606	0.97037	0.97333	0.96800	0.84711	0.92089	0.92000	0.92103	0.99200	0.90027	0.95333	0.98974
0.93181	0.95499	0.91491	0.94394	0.94591	0.97722	0.97288	0.83038	0.87044	0.94370	0.95326	0.97257	0.91139	0.96203	0.98418
