group	mean	lower	upper	metric
0_TFx	0.9030677984130459	0.8493400988631253	0.9489389506893984	AUC
>0-0.05_TFx	0.920414401770376	0.8582447673617264	0.968726472007722	AUC
>=0.05_TFx	0.9647721145703266	0.8554988426612855	1.0	AUC
Bile_Duct_Cancer	0.9467724978330649	0.8666666666666667	0.9980435924369748	AUC
Breast_Cancer	0.9167421227325596	0.8530502392344497	0.9692814461753081	AUC
Colorectal_Cancer	0.9572164623969932	0.8988568376068375	0.998362506240194	AUC
Gastric_cancer	0.8859866524032449	0.7660648670427076	0.9790233384069	AUC
I	0.8957168982607879	0.8139865663731246	0.9659453254986206	AUC
II	0.9088424029588692	0.8451824604614985	0.95356112835544	AUC
III	0.9382626411139894	0.8610308441558442	0.9900138724911451	AUC
IV	0.9680714591813677	0.9123562386980107	1.0	AUC
Lung_Cancer	0.9787467609081212	0.9022488073941562	1.0	AUC
Ovarian_Cancer	0.960372011270509	0.8978768497058299	1.0	AUC
Pancreatic_Cancer	0.8406759008082254	0.6842441682329323	0.9548004474428525	AUC
overall	0.918164476100512	0.8794106108005539	0.9511270124116765	AUC
