overall	Bile_Duct_Cancer	Breast_Cancer	Colorectal_Cancer	Gastric_cancer	Lung_Cancer	Ovarian_Cancer	Pancreatic_Cancer	I	II	III	IV	0-0.03TFx	0.03-0.05TFx	>0.05TFx
0.88934	0.96154	0.91186	0.90293	0.88846	0.99573	0.96154	0.71105	0.85812	0.87668	0.96026	0.91506	0.84233	0.95788	0.97265
0.89528	0.94444	0.86878	0.88642	0.96420	0.95833	0.95802	0.77273	0.92222	0.85646	0.90778	0.97917	0.86811	0.96815	0.98889
0.86957	0.93529	0.94286	0.78922	0.81604	0.99706	0.92437	0.70882	0.80557	0.88394	0.90196	0.98824	0.84562	0.88770	0.97778
0.91570	0.97542	0.92055	0.97204	0.91202	0.99570	0.96195	0.79355	0.97419	0.87634	0.88172	0.99104	0.88430	0.97043	0.99283
0.89813	0.94902	0.85049	0.92000	0.86667	0.96471	0.97370	0.84064	0.95033	0.85618	0.88778	0.97529	0.87363	0.93529	0.97311
0.89984	0.96875	0.91458	0.88750	0.94375	0.99062	0.92308	0.76696	0.85592	0.90469	0.90795	0.99500	0.86709	0.92308	0.99286
0.86610	0.90423	0.84635	0.90669	0.73496	0.99648	0.96009	0.80634	0.91147	0.87628	0.74554	0.95070	0.85892	0.83300	0.93897
0.87457	0.91687	0.91506	0.79844	0.81953	0.98750	0.84952	0.82578	0.79554	0.89041	0.86172	0.93304	0.85967	0.83681	0.97727
0.87529	0.94074	0.85778	0.85871	0.81852	0.99753	0.89113	0.84362	0.85802	0.85861	0.93086	0.94533	0.86067	0.85538	0.99726
0.91084	0.96340	0.93874	0.91597	0.84118	0.98676	0.95882	0.75686	0.91137	0.90560	0.91073	0.93464	0.90279	0.94338	0.90471
0.87638	0.91975	0.89418	0.89649	0.80471	0.97222	0.96159	0.77690	0.81834	0.86515	0.89815	0.95623	0.83241	0.91667	0.97795
0.89997	0.93715	0.94090	0.92073	0.84959	0.99085	0.98171	0.77439	0.86653	0.90589	0.91986	0.96951	0.87430	0.97663	0.94146
0.88983	0.93823	0.88235	0.89231	0.84295	0.99084	0.98590	0.78571	0.85128	0.91182	0.80952	0.97721	0.86745	0.90934	0.97041
0.89018	0.95586	0.89833	0.80180	0.79730	0.98986	0.97432	0.83997	0.81622	0.91691	0.88127	0.94820	0.87395	0.90541	0.95086
0.86188	0.92224	0.86809	0.90759	0.80234	0.94177	0.94016	0.75598	0.79598	0.88490	0.82911	0.85172	0.82668	0.86186	0.98397
0.91487	0.93690	0.91497	0.90857	0.91429	0.94000	0.89464	0.89000	0.85816	0.91699	0.92024	0.98000	0.91163	0.85268	0.99592
0.92680	0.98949	0.92483	0.92399	0.77177	1.00000	0.99509	0.91622	0.88063	0.95122	0.86937	0.96139	0.92104	0.93366	0.94865
0.88760	0.83333	0.90148	0.94877	0.86039	0.97143	0.97107	0.72532	0.84343	0.87461	0.91698	0.98052	0.85135	0.95854	0.96147
0.88864	0.90090	0.91570	0.91291	0.78885	0.98986	0.92492	0.81371	0.78604	0.90972	0.85023	0.94707	0.85110	0.91329	0.98273
0.91431	0.97354	0.88148	0.89506	0.90000	0.96091	0.96473	0.88765	0.89259	0.91711	0.89095	0.94691	0.89163	0.93298	0.99863
