	median	0.025	0.975
overall	0.89362	0.82749	0.93800
Bile_Duct_Cancer	0.94624	0.83834	0.99603
Breast_Cancer	0.89408	0.79751	0.96113
Colorectal_Cancer	0.90448	0.76289	0.98639
Gastric_cancer	0.86239	0.72254	0.97346
Lung_Cancer	0.98649	0.86389	1.00000
Ovarian_Cancer	0.94469	0.84705	0.99351
Pancreatic_Cancer	0.82244	0.67575	0.93524
I	0.87253	0.75173	0.95626
II	0.89163	0.81446	0.94634
III	0.89341	0.77555	0.96862
IV	0.95023	0.85170	0.99713
0-0.03TFx	0.87524	0.80640	0.92638
0.03-0.05TFx	0.91323	0.79852	0.98661
>0.05TFx	0.95940	0.87218	0.99741
