sample_id	cluster_id	size	mean	std
FC15883184	1	24	3.529013989929551e-05	0.0005939445116033026
FC15883181	1	24	0.006010283163446325	0.008749735421852924
FC15883180	1	24	1.547928174264431e-07	3.9344352542478874e-05
FC15883183	1	24	0.12017956687440907	0.07106173915593489
FC15883182	1	24	0.034529948026132795	0.027673935850663405
FC16207805	1	24	3.819006627905746e-11	6.179811214547065e-07
FC16207807	1	24	0.18721555143442978	0.06094690089315608
FC16207806	1	24	0.030425289765367427	0.025985395899255786
FC15883184	2	2	0.976317521519048	0.0268014877946845
FC15883181	2	2	0.8057099573053957	0.14186505747148168
FC15883180	2	2	0.9796835877281302	0.023278671658349532
FC15883183	2	2	0.9202699935807661	0.07577294494707193
FC15883182	2	2	0.8299251516315028	0.1316037562563614
FC16207805	2	2	0.9971094849428546	0.006007582036230323
FC16207807	2	2	0.9066702480433717	0.08522763058648528
FC16207806	2	2	0.91373169284485	0.0773976470452105
FC15883184	3	2	0.7199025250010394	0.12036485930880701
FC15883181	3	2	0.115031606925428	0.07532919857611942
FC15883180	3	2	0.5475263456078782	0.1668682977941873
FC15883183	3	2	0.48328073947959227	0.2405599126466165
FC15883182	3	2	0.17002995962643325	0.13407003808290138
FC16207805	3	2	0.6422976493545423	0.18741700367886496
FC16207807	3	2	0.7758715691972594	0.15801477988077647
FC16207806	3	2	0.31398945709717757	0.1688315003994271
FC15883184	4	1	0.4749574079620811	0.26167727948011543
FC15883181	4	1	0.5000000000000001	0.29154759474226427
FC15883180	4	1	0.5378954063454688	0.29311755490566566
FC15883183	4	1	0.5000000000000001	0.29154759474226427
FC15883182	4	1	0.5000000000000001	0.29154759474226427
FC16207805	4	1	0.4517555716676577	0.24205791998124138
FC16207807	4	1	0.5000000000000001	0.29154759474226427
FC16207806	4	1	0.5000000000000001	0.29154759474226427
FC15883184	5	1	0.4168808487723901	0.2007287673952632
FC15883181	5	1	0.1174458803198802	0.13621836574272478
FC15883180	5	1	0.16112404888672896	0.08990666901259814
FC15883183	5	1	0.4398710754916935	0.2881800161364078
FC15883182	5	1	0.2424755239628105	0.22901233171033428
FC16207805	5	1	0.021554861458389567	0.02275543175762863
FC16207807	5	1	0.30679591906976333	0.2573981533065305
FC16207806	5	1	0.23189052603390284	0.2232680225323028
