sample_id	cluster_id	size	mean	std
FC15883004	1	3	0.8909519325768681	0.06898264869017152
FC15883005	1	3	0.8755622318968923	0.06607575997651292
FC15883003	1	3	0.9785500003707486	0.021189434431827203
FC15884188	1	3	0.9869413686980086	0.016050988677496388
FC19310603	1	3	0.9978483718679236	0.005089501927894465
FC15884187	1	3	0.9609512224078489	0.031690442186932094
FC15883004	2	1	0.7037944219552105	0.21306789354751696
FC15883005	2	1	0.6640439983562713	0.16674711160123404
FC15883003	2	1	0.6129443666788008	0.07315835113978106
FC15884188	2	1	0.6795573795380184	0.07147899708216664
FC19310603	2	1	0.6139662020508521	0.11573372636241092
FC15884187	2	1	0.6370487422318285	0.0775462074625818
FC15883004	3	1	0.5984524634692019	0.20238931981694827
FC15883005	3	1	0.6742104696630016	0.13430537962944258
FC15883003	3	1	0.825052219912154	0.06353473112540947
FC15884188	3	1	0.7802576551804762	0.08435206134793888
FC19310603	3	1	0.970167326872561	0.029252104668077275
FC15884187	3	1	0.696775439936611	0.07499670690229542
FC15883004	4	2	0.02794686338013182	0.020101799216254917
FC15883005	4	2	0.0546085260325308	0.03445456711707957
FC15883003	4	2	0.016098680406166056	0.01255064026267001
FC15884188	4	2	0.44355538035959546	0.0705295115402704
FC19310603	4	2	0.47674723912399153	0.056587720352061395
FC15884187	4	2	0.07214883792100038	0.02720211671926183
FC15883004	5	2	0.19004060900961672	0.09506956338667308
FC15883005	5	2	0.18225309114858815	0.06207055350919617
FC15883003	5	2	0.20764649173016972	0.06206111189323495
FC15884188	5	2	0.30212243713277487	0.08292928700565372
FC19310603	5	2	0.43888749574803876	0.16038430136601253
FC15884187	5	2	0.08298018744504701	0.03583800156040612
FC15883004	6	28	1.6799977870778376e-05	0.0004096617842624155
FC15883005	6	28	0.009998272856020353	0.002444439031756849
FC15883003	6	28	2.4182844499288096e-08	1.555081544788783e-05
FC15884188	6	28	1.7135932133388969e-07	4.1395266377725785e-05
FC19310603	6	28	1.5055294131145691e-15	3.880115221383657e-09
FC15884187	6	28	0.010090611462058257	0.0009481284682976387
FC15883004	7	10	0.04124566636101759	0.011333447972733515
FC15883005	7	10	0.0321399061390524	0.010596406627020369
FC15883003	7	10	0.06865712771723025	0.010564406148859574
FC15884188	7	10	0.011261262057765141	0.005552028781352046
FC19310603	7	10	0.03067807130024023	0.0051765661475961485
FC15884187	7	10	0.03601346083050307	0.008593312148617971
