sample_id	cluster_id	size	mean	std
FC15883033	1	23	0.06698007846604373	0.02810276860644207
FC15883032	1	23	5.408812882946085e-05	0.0007334661422857449
FC15883034	1	23	0.006434456306598102	0.005655447423217646
FC15884237	1	23	0.007197928594936685	0.004492087750307098
FC15884238	1	23	0.0008849089560790402	0.0030986453968600224
FC15884239	1	23	8.39688480073928e-07	9.163340059881039e-05
FC15883033	2	2	0.0609477342896079	0.07548417536412422
FC15883032	2	2	0.38405786483150284	0.17271811572835957
FC15883034	2	2	0.3851328877929332	0.13463342398355502
FC15884237	2	2	0.5853975794778542	0.28217926524713205
FC15884238	2	2	0.36791394027166285	0.18838311277892597
FC15884239	2	2	0.37713653668878006	0.18807634945335291
FC15883033	3	1	0.25800811477305735	0.22756520946318323
FC15883032	3	1	0.07395698640902364	0.04566877527365641
FC15883034	3	1	0.5634360899225603	0.16616019688308295
FC15884237	3	1	0.16452315532866593	0.06319832754855366
FC15884238	3	1	0.15788470376787123	0.1573920520976832
FC15884239	3	1	0.36561649294106374	0.10069275864793877
FC15883033	4	2	0.7157968582951655	0.16951372106025744
FC15883032	4	2	0.4288242638300042	0.13062259236214516
FC15883034	4	2	0.6652090218688809	0.13403847701967345
FC15884237	4	2	0.6081468270254131	0.1815671833431879
FC15884238	4	2	0.6774509170723539	0.17919432724130643
FC15884239	4	2	0.33204668043392943	0.07655755854224963
FC15883033	5	2	0.8037196207406544	0.16159785549587707
FC15883032	5	2	0.966072919358133	0.033638188870841385
FC15883034	5	2	0.9816062430752841	0.0225848961718623
FC15884237	5	2	0.9799714027468682	0.02262760677456469
FC15884238	5	2	0.4485347314312565	0.28892888223368385
FC15884239	5	2	0.9870552594285358	0.016638901842388264
FC15883033	6	1	0.8033920999987237	0.13231238319409813
FC15883032	6	1	0.7888620848945246	0.042513084284284956
FC15883034	6	1	0.8504946003031457	0.0783950551850828
FC15884237	6	1	0.8672572765519468	0.048539718510437764
FC15884238	6	1	0.8839461088360485	0.08607669737750115
FC15884239	6	1	0.7830386120741264	0.154931348180688
FC15883033	7	1	0.29445124451296933	0.24598898934143965
FC15883032	7	1	0.0831734265192109	0.0508066584332943
FC15883034	7	1	0.052996516186336426	0.05741464941282702
FC15884237	7	1	0.2633889269975328	0.06583863209708614
FC15884238	7	1	0.434529418739713	0.23268261072811333
FC15884239	7	1	0.032029771166316445	0.036484991318160104
