sample_id	cluster_id	size	mean	std
FC15883012	1	7	0.04723887338590432	0.01825079205667947
FC15883011	1	7	0.1133139214243578	0.022775697413726457
FC15883014	1	7	0.014003385486390437	0.015548307686570577
FC16207777	1	7	0.06711937912562885	0.011571831427685664
FC15884192	1	7	0.005132426317459829	0.007282943440496322
FC16207779	1	7	0.003686086581394235	0.007264220019940691
FC16207778	1	7	0.014343206980803791	0.018095299642566363
FC15883012	2	28	0.0004214503991271371	0.0020261428773104355
FC15883011	2	28	1.46405957012997e-05	0.00038238318993349626
FC15883014	2	28	0.027007680846243144	0.01044871846850141
FC16207777	2	28	1.1509642649304808e-09	3.392586263121161e-06
FC15884192	2	28	0.02429430968395711	0.005805375971899277
FC16207779	2	28	0.026233223211790054	0.009089341697923038
FC16207778	2	28	0.042223356077074926	0.016698044597747208
FC15883012	3	8	0.1472033796016746	0.03172757469599273
FC15883011	3	8	0.12707424430943995	0.027570007208177212
FC15883014	3	8	0.12965957360492353	0.03870385843345882
FC16207777	3	8	0.10787180483188702	0.018423546153079656
FC15884192	3	8	0.1652527230046207	0.030833225231757494
FC16207779	3	8	0.13084666160115555	0.03661788330090304
FC16207778	3	8	0.13711466670270828	0.048740392518076756
FC15883012	4	4	0.966932847725596	0.0336490016361613
FC15883011	4	4	0.9747155060544761	0.027346991262953875
FC15883014	4	4	0.9076959267086415	0.07909373744386204
FC16207777	4	4	0.8340246307580625	0.05836088419404507
FC15884192	4	4	0.9697986961736721	0.030326878230672073
FC16207779	4	4	0.6698847750399295	0.1470798663926029
FC16207778	4	4	0.5073493136613322	0.2036445192740183
FC15883012	5	8	0.40893813985544775	0.07231786349276528
FC15883011	5	8	0.4881007938425812	0.07074586733982532
FC15883014	5	8	0.4204760873268141	0.0933578732512419
FC16207777	5	8	0.3270779123601207	0.06066288938064254
FC15884192	5	8	0.4693681640083877	0.08796922806696307
FC16207779	5	8	0.3263355534258682	0.10319734309679435
FC16207778	5	8	0.37497018221443024	0.09889982002965406
