sample_id	cluster_id	size	mean	std
FC15884242	1	2	0.25711578238048804	0.09041880225582358
FC15884241	1	2	0.38910922521267244	0.15029425235735316
FC15884240	1	2	0.46211221261078433	0.10434232538416989
FC15883035	1	2	0.5802524327315028	0.13916944191911193
FC15884242	2	1	0.4714331041447802	0.28380723264452545
FC15884241	2	1	0.5033596606348489	0.22211092099853877
FC15884240	2	1	0.5508174966038049	0.23565721485244184
FC15883035	2	1	0.5149921982998256	0.22321430407772985
FC15884242	3	2	0.9613518840116694	0.02753192364498456
FC15884241	3	2	0.6484999356734369	0.06788782653584022
FC15884240	3	2	0.8783379942876292	0.06950281977952392
FC15883035	3	2	0.800533610020654	0.06707951120370825
FC15884242	4	6	0.762450182729507	0.03227825098524899
FC15884241	4	6	0.7583797970939036	0.049423002460591156
FC15884240	4	6	0.9406817905356331	0.04059460287357561
FC15883035	4	6	0.7998724444548687	0.053592728869751194
FC15884242	5	84	8.536978909127258e-60	2.9218108955110794e-31
FC15884241	5	84	0.030182875157266253	0.0013683355454414147
FC15884240	5	84	8.538763173447917e-33	9.240542826829989e-18
FC15883035	5	84	5.302135764583264e-26	2.3026366983489307e-14
FC15884242	6	2	0.07101979199235603	0.026952186661730586
FC15884241	6	2	0.1321406446261257	0.05000628610653656
FC15884240	6	2	0.14721396721296917	0.049291946286633484
FC15883035	6	2	0.08722163888834321	0.03624632933208424
FC15884242	7	4	0.06362175830007136	0.020080135035134426
FC15884241	7	4	0.05347462779255924	0.021011766495965187
FC15884240	7	4	0.014503097079151437	0.0074673152655451176
FC15883035	7	4	0.028286344903214286	0.01296262990297004
FC15884242	8	1	0.011620347611322383	0.012687574827738083
FC15884241	8	1	0.04192443937758188	0.03757756797957086
FC15884240	8	1	0.006130897285579116	0.012186487734647276
FC15883035	8	1	0.10334309612023024	0.06727015817678904
