sample_id	cluster_id	size	mean	std
FC16207791	1	40	4.1114472424286107e-19	6.412056801392684e-11
FC16207789	1	40	1.6269045093617843e-07	4.0334580835970274e-05
FC15883041	1	40	4.6124417768655064e-08	2.1476546516596236e-05
FC15883040	1	40	4.138880041757745e-13	6.433412812486715e-08
FC16207790	1	40	8.954584866732153e-08	2.9924078402642963e-05
FC15883042	1	40	0.009971495347482255	0.0005331360145094456
FC16207792	1	40	0.010000025272162273	1.5897200525479407e-05
FC16207791	2	15	0.024864338264376142	0.0053114519354400735
FC16207789	2	15	0.03990510581343685	0.008210436880309166
FC15883041	2	15	0.016352604504618326	0.005036688391265673
FC15883040	2	15	0.010951019286613288	0.0029470215044656387
FC16207790	2	15	0.020359465920893372	0.0027808400897696337
FC15883042	2	15	0.029362927103107724	0.0042975037410416805
FC16207792	2	15	0.04404418266050075	0.00631169913403927
FC16207791	3	2	0.9324996820547703	0.038641874855755175
FC16207789	3	2	0.9898618843638036	0.013773438448304686
FC15883041	3	2	0.8111124791897835	0.052945531345206305
FC15883040	3	2	0.9473963174518227	0.03661802824773623
FC16207790	3	2	0.9404021856493201	0.03934947703918862
FC15883042	3	2	0.960902570460388	0.029001506988178605
FC16207792	3	2	0.9977426829117935	0.005189479772579595
FC16207791	4	2	0.6341886723098538	0.11572003717998283
FC16207789	4	2	0.7697463108111205	0.10538066479333115
FC15883041	4	2	0.6576468420391958	0.17876208398040908
FC15883040	4	2	0.5973970444148585	0.2023150717018369
FC16207790	4	2	0.6577000922040993	0.20208918378142948
FC15883042	4	2	0.6327304188202395	0.19652332746395296
FC16207792	4	2	0.7358457379979542	0.07933236081809741
FC16207791	5	7	0.08409732759725987	0.01307186102076229
FC16207789	5	7	0.13826720091168246	0.024817560400650845
FC15883041	5	7	0.06397706743173483	0.013735484015464762
FC15883040	5	7	0.09774929077571731	0.017963702002969078
FC16207790	5	7	0.07939707346356047	0.015575616823213404
FC15883042	5	7	0.0763921019066542	0.01588113335961258
FC16207792	5	7	0.11534784185547277	0.01782147988265662
FC16207791	6	5	0.2870632754675054	0.09821187466688407
FC16207789	6	5	0.2485910760598912	0.03852379598562544
FC15883041	6	5	0.23254775279453266	0.07686148570753112
FC15883040	6	5	0.11828177287434843	0.024619651905891837
FC16207790	6	5	0.21638470745478672	0.0644619221327951
FC15883042	6	5	0.22645398973881806	0.052783991526965175
FC16207792	6	5	0.27093530809132355	0.03531211450552878
FC16207791	7	1	0.5613231914772964	0.26010313644946814
FC16207789	7	1	0.537244112052352	0.20139258637887422
FC15883041	7	1	0.46594773699358155	0.219499522259181
FC15883040	7	1	0.5665761424872268	0.26805759408233687
FC16207790	7	1	0.5183715418463843	0.2443259852820505
FC15883042	7	1	0.5524888036328569	0.2608405634854628
FC16207792	7	1	0.575195242128592	0.20000725127259117
