	median	0.025	0.975
overall	0.92390	0.88365	0.95843
Bile_Duct_Cancer	0.95918	0.88014	0.99663
Breast_Cancer	0.92998	0.86738	0.97475
Colorectal_Cancer	0.93243	0.81699	0.99005
Gastric_cancer	0.91821	0.79777	0.99102
Lung_Cancer	0.99230	0.91888	1.00000
Ovarian_Cancer	0.97461	0.92407	0.99807
Pancreatic_Cancer	0.84572	0.70512	0.94842
I	0.90506	0.80181	0.96965
II	0.92152	0.86807	0.96375
III	0.93242	0.84613	0.98275
IV	0.96776	0.89065	1.00000
0-0.03TFx	0.90560	0.85607	0.94667
0.03-0.05TFx	0.95720	0.88192	0.99473
>0.05TFx	0.97695	0.92205	1.00000
