overall	Bile_Duct_Cancer	Breast_Cancer	Colorectal_Cancer	Gastric_cancer	Lung_Cancer	Ovarian_Cancer	Pancreatic_Cancer	I	II	III	IV	0-0.03TFx	0.03-0.05TFx	>0.05TFx
0.88580	0.90909	0.88248	0.97253	0.84615	0.99145	0.95192	0.79093	0.86325	0.87912	0.88846	0.96795	0.83197	0.96245	0.98291
0.91826	0.93457	0.91852	0.93457	0.95309	0.86944	0.97531	0.82626	0.89306	0.90811	0.94778	0.97222	0.89897	0.97259	0.97500
0.78534	0.85294	0.83613	0.69902	0.61604	0.94706	0.81513	0.82353	0.71641	0.84579	0.66144	0.89412	0.77263	0.80000	0.83660
0.89219	0.98310	0.87216	0.93763	0.98143	0.99785	0.86600	0.77348	0.91667	0.86171	0.88465	0.97133	0.85290	0.95833	0.99283
0.87991	0.85882	0.83235	0.96000	0.88725	0.96863	0.91280	0.87059	0.93203	0.85412	0.82262	0.95176	0.84909	0.94824	0.95882
0.82081	0.85938	0.81667	0.83125	0.76172	0.90469	0.88269	0.74420	0.80263	0.81906	0.81989	0.93000	0.77704	0.85000	0.94688
0.87587	0.90282	0.84187	0.92606	0.77849	1.00000	0.96244	0.82746	0.91751	0.86943	0.78967	0.98063	0.88040	0.71026	0.97496
0.83682	0.89375	0.81080	0.76562	0.77500	0.90625	0.93269	0.77969	0.79107	0.84738	0.78906	0.89464	0.79245	0.95556	0.95341
0.84185	0.80000	0.80000	0.89163	0.89753	0.95062	0.91021	0.74897	0.86358	0.80423	0.90000	0.92240	0.79806	0.92152	0.99040
0.90659	0.97778	0.91237	0.87899	0.94265	0.95735	0.95294	0.75882	0.85882	0.89888	0.94118	0.95686	0.88607	0.92132	1.00000
0.84752	0.92078	0.87302	0.86135	0.79237	0.99383	0.95062	0.68166	0.83245	0.81323	0.84979	0.97868	0.79406	0.91049	0.95503
0.86585	0.85460	0.86210	0.87805	0.91599	0.97561	0.95244	0.75381	0.87331	0.85923	0.84146	0.99390	0.83396	0.96240	0.91585
0.86330	0.87995	0.89744	0.81410	0.77804	0.96886	0.98205	0.79396	0.81731	0.86961	0.82967	0.96154	0.83094	0.92674	0.94181
0.85430	0.89279	0.84234	0.87162	0.74447	0.93581	0.90811	0.84211	0.87230	0.84704	0.84846	0.86486	0.80965	0.96246	0.91278
0.88200	0.86347	0.94870	0.89873	0.77410	0.94430	0.93786	0.84318	0.78630	0.90952	0.87722	0.95118	0.84737	0.89983	0.97468
0.87299	0.89881	0.81837	0.86286	0.87619	0.95714	0.93214	0.86286	0.86429	0.86216	0.81786	0.99143	0.84585	0.84464	0.98878
0.92098	0.97447	0.90963	0.94595	0.77628	0.98986	0.98157	0.91171	0.89414	0.92947	0.88176	0.98456	0.91176	0.94840	0.93784
0.85575	0.74315	0.85893	0.87879	0.84805	0.95844	0.95750	0.75714	0.87662	0.83086	0.84323	0.94084	0.82421	0.91808	0.91948
0.89043	0.92492	0.91699	0.86336	0.88176	0.93919	0.89339	0.85232	0.81982	0.91173	0.87950	0.88851	0.85543	0.97635	0.93619
0.86728	0.97178	0.83786	0.88272	0.75556	0.90535	0.89065	0.87901	0.83086	0.89771	0.78086	0.91975	0.84527	0.85626	0.99451
0.83261	0.83699	0.85959	0.86301	0.79224	0.97260	0.91194	0.73973	0.80822	0.84263	0.78219	0.89954	0.80305	0.90563	0.91532
0.86881	0.95181	0.87410	0.85542	0.85714	0.93976	0.93775	0.78514	0.77430	0.90485	0.83874	0.97289	0.85449	0.89620	0.92427
0.87245	0.89167	0.86574	0.85813	0.90605	0.87222	0.96667	0.76603	0.80990	0.87191	0.86706	0.98148	0.83258	0.94225	0.93910
0.88731	0.88421	0.87091	0.95205	0.91278	1.00000	0.97544	0.77652	0.94316	0.84774	0.93553	0.99549	0.84772	0.92865	0.98797
0.84513	0.87391	0.83860	0.73913	0.83575	0.97930	0.93116	0.79089	0.78406	0.88011	0.81159	0.86128	0.82434	0.83644	0.93996
0.89418	0.88023	0.88843	0.92857	0.91558	0.96429	0.90310	0.83816	0.90167	0.89188	0.90043	0.88312	0.85536	0.96104	0.95931
0.87086	0.91408	0.88988	0.88908	0.63067	0.94366	0.87715	0.93427	0.83247	0.89617	0.83400	0.87559	0.84977	0.89437	0.93598
0.87452	0.91557	0.86118	0.92434	0.82895	0.99123	0.98482	0.72166	0.94572	0.84910	0.77778	0.96637	0.82579	0.93344	0.97018
0.86861	0.85112	0.89288	0.88764	0.87640	0.89888	0.84591	0.84671	0.86186	0.85426	0.92135	0.83521	0.85570	0.89419	0.89794
0.86037	0.83219	0.85753	0.81126	0.87062	0.92368	0.95268	0.81759	0.87383	0.84658	0.85360	0.91952	0.84846	0.90660	0.87987
0.85892	0.87601	0.91152	0.85145	0.76232	0.99638	0.90870	0.78261	0.85024	0.85244	0.82729	0.95238	0.84504	0.83213	0.92850
0.85852	0.86286	0.85167	0.82400	0.79667	0.97556	0.90667	0.84848	0.83200	0.89676	0.80286	0.85556	0.85702	0.84356	0.88800
0.84586	0.86217	0.95910	0.76640	0.78861	0.86582	0.91945	0.79177	0.70976	0.88212	0.70253	0.93291	0.80935	0.90618	0.90458
0.86928	0.89659	0.82237	0.98021	0.80341	0.95357	0.88000	0.81442	0.86438	0.86875	0.83542	0.92500	0.83048	0.94750	0.95859
0.83301	0.76964	0.86458	0.82692	0.80714	0.90536	0.86094	0.76771	0.84097	0.82964	0.80179	0.86667	0.79715	0.89875	0.95909
0.86362	0.83084	0.90235	0.86329	0.79402	0.87342	0.87439	0.86287	0.77778	0.88144	0.88608	0.89873	0.83176	0.89940	0.97089
0.86497	0.89583	0.84656	0.86905	0.82993	0.98016	0.89550	0.79762	0.83754	0.87625	0.77679	0.88757	0.81417	0.93315	0.93973
0.85856	0.85632	0.86462	0.86494	0.91133	0.98851	0.86494	0.76698	0.79617	0.85842	0.91609	0.92816	0.83864	0.91494	0.90575
0.88387	0.86575	0.89157	0.93842	0.86469	0.98795	0.93494	0.79425	0.88726	0.87768	0.86988	0.95382	0.86080	0.92275	0.94699
0.87945	0.84250	0.92589	0.94750	0.81786	0.98750	0.88750	0.80703	0.89519	0.87151	0.87679	0.89306	0.83777	0.98068	0.93583
0.88868	0.85517	0.91600	0.91954	0.81226	0.99770	0.94397	0.80725	0.91264	0.87714	0.79310	0.99234	0.88527	0.80690	1.00000
0.85000	0.80729	0.82232	0.88125	0.82500	0.95625	0.92639	0.83654	0.87143	0.85531	0.77222	0.89687	0.79803	0.89853	0.94583
0.87254	0.97833	0.90080	0.62333	0.82476	0.97333	0.95222	0.76000	0.87833	0.86611	0.84727	0.92833	0.85282	0.89754	0.91487
0.89984	0.98542	0.87171	0.86125	0.86042	0.98750	0.96477	0.86442	0.91731	0.90579	0.75341	0.99091	0.87168	0.90179	0.99000
0.93590	0.98280	0.90774	0.96693	0.91005	0.96599	0.95734	0.90476	0.94196	0.94129	0.88889	0.96280	0.91833	0.96429	0.96984
0.88421	0.89610	0.93506	0.80375	0.84045	0.97403	0.92008	0.82917	0.85931	0.91266	0.79870	0.87338	0.86928	0.88412	0.94156
0.87395	0.99063	0.87717	0.89821	0.93333	1.00000	0.88854	0.72000	0.90729	0.85000	0.89643	0.90556	0.82969	0.98846	0.94464
0.91629	0.94402	0.92846	0.86590	0.91892	1.00000	0.99017	0.84511	0.88981	0.90878	0.91554	0.96892	0.89004	0.94906	0.98649
0.86978	0.87556	0.92941	0.89333	0.77467	0.84889	0.92000	0.82000	0.83111	0.87783	0.78933	0.94182	0.84256	0.88000	0.95733
0.86195	0.87531	0.82807	0.84949	0.76944	0.99444	0.97083	0.88765	0.78148	0.89298	0.77980	0.96543	0.80486	0.97593	0.96752
0.85680	0.64675	0.82597	0.90809	0.87302	0.99567	0.94805	0.83333	0.89492	0.82742	0.88149	0.98377	0.83040	0.88511	0.93831
0.89522	0.91667	0.90015	0.89640	0.83888	0.98069	0.96525	0.82432	0.73874	0.91709	0.86577	0.99017	0.86965	0.91301	1.00000
0.91064	0.84870	0.92080	0.90000	0.91489		0.98024	0.90662	0.90180	0.89894	0.95957	0.92979	0.88898	0.95745	0.94362
0.88419	0.95681	0.90756	0.93355	0.81298	0.99419	0.88283	0.78372	0.83970	0.89321	0.88901	0.90233	0.87143	0.89244	0.94832
0.83215	0.83559	0.85541	0.80068	0.64264	1.00000	0.91788	0.80000	0.74228	0.84831	0.81532	0.92230	0.81134	0.84363	0.91400
0.78121	0.76543	0.76837	0.77160	0.76790	0.96543	0.82167	0.72928	0.76749	0.76992	0.88117	0.76389	0.72840	0.94321	0.85565
0.85558	0.82074	0.90074	0.84364	0.80148	0.96333	0.91067	0.78844	0.84711	0.86848	0.77436	0.97867	0.82133	0.89333	0.94667
0.89418	0.86639	0.87904	0.92224	0.89413	0.96962	0.92767	0.83165	0.86150	0.88807	0.95229	0.88397	0.86658	0.95716	0.94093
0.86428	0.95570	0.86568	0.83252	0.93671	0.84810	0.87572	0.77758	0.80952	0.86329	0.88291	0.94937	0.81719	0.96282	0.94361
0.87673	0.91463	0.86442	0.96037	0.80610	0.95122	0.92480	0.77494	0.89092	0.86280	0.88902	0.89295	0.83599	0.94512	0.96717
0.91236	0.92801	0.89437	0.94150	0.87324	0.89296	0.90376	0.93933	0.89057	0.91866	0.90443	0.91658	0.89537	0.93180	0.94800
0.86373	0.84632	0.85304	0.88012	0.96248		0.86580	0.76136	0.87338	0.83995	0.88745	0.89773	0.82262	0.93407	0.92308
0.87561	0.82169	0.88399	0.79853	0.89027	0.93824	0.95221	0.86555	0.86134	0.87515	0.86631	0.89379	0.85557	0.93137	0.88636
0.81739	0.79490	0.85061	0.80863	0.80732	0.93089	0.90366	0.69137	0.94817	0.77535	0.80139	0.83149	0.77463	0.91685	0.88699
0.84948	0.79643	0.86791	0.91667	0.84632	0.99405	0.93333	0.72421	0.85847	0.80742	0.89980	0.92857	0.82099	0.91026	0.97421
0.88978	0.98558	0.86859	0.79006	0.86795	0.97863	0.94231	0.88718	0.80342	0.90914	0.83800	0.97619	0.84755	0.94062	0.97115
0.86886	0.97768	0.86395	0.87143	0.82440	1.00000	0.92659	0.73929	0.84439	0.87760	0.81944	0.90952	0.84554	0.88988	0.93074
0.91454	0.92402	0.91457	0.94748	0.86949	0.99020	0.94559	0.88130	0.93382	0.91060	0.87745	0.97794	0.88072	0.97398	0.98262
0.87026	0.88889	0.83092	0.88272	0.90278	0.93333	0.94231	0.82456	0.84028	0.86139	0.89209	0.97685	0.81288	0.96962	0.98214
0.89988	0.96361	0.86899	0.96778	0.90506	1.00000	0.95910	0.75316	0.94485	0.85976	0.91308	0.96765	0.85416	0.95807	0.97806
0.84945	0.89143	0.87867	0.76083	0.81833	0.98222	0.93333	0.80205	0.82794	0.85410	0.84615	0.92167	0.83974	0.83222	0.89333
0.93913	1.00000	0.97328	0.89557	0.88377	0.97257	0.96062	0.90679	0.93761	0.93834	0.93812	0.95627	0.93470	0.96044	0.94066
0.85465	0.86380	0.85603	0.89247	0.90323	1.00000	0.86175	0.71102	0.92082	0.84034	0.87903	0.77957	0.82492	0.90860	0.92082
0.89313	0.94304	0.94713	0.95077	0.75497	0.96624	0.88900	0.85696	0.89129	0.91892	0.80818	0.92278	0.87193	0.89198	0.97760
0.87315	0.92353	0.85401	0.96941	0.83137	0.99118	0.94216	0.72941	0.89255	0.85246	0.85176	0.94824	0.83812	0.90980	0.96561
0.85145	0.90332	0.86364	0.95455	0.78867	0.96970	0.86414	0.75477	0.84263	0.83835	0.90216	0.84271	0.83076	0.88776	0.91775
0.84090	0.95641	0.76603	0.83077	0.82634	0.94872	0.91913	0.81558	0.80413	0.83622	0.80375	0.95584	0.83536	0.79029	0.92628
0.88869	0.96081	0.87500	0.92905	0.78078	0.91216	0.92875	0.85447	0.91023	0.88108	0.86689	0.94820	0.86359	0.93243	0.95738
0.85514	0.94043	0.88746	0.78511	0.87943	0.91844	0.96809	0.77589	0.80053	0.86388	0.86654	0.89362	0.83723	0.93085	0.85397
0.89424	0.94515	0.85232	0.90981	0.86667	0.98011	0.97574	0.78228	0.88075	0.90730	0.80802	0.97468	0.89154	0.84135	0.98734
