	median	0.025	0.975
overall	0.87256	0.82269	0.91455
Bile_Duct_Cancer	0.89302	0.76543	0.99179
Breast_Cancer	0.87387	0.79217	0.93735
Colorectal_Cancer	0.87166	0.73375	0.96720
Gastric_cancer	0.85127	0.68418	0.96365
Lung_Cancer	0.97436	0.84871	1.00000
Ovarian_Cancer	0.92944	0.82207	0.98547
Pancreatic_Cancer	0.81307	0.68076	0.93042
I	0.85738	0.75105	0.94033
II	0.87046	0.80487	0.92706
III	0.86548	0.74338	0.95769
IV	0.93428	0.81893	0.99496
0-0.03TFx	0.84346	0.78422	0.89538
0.03-0.05TFx	0.91786	0.81940	0.98686
>0.05TFx	0.95302	0.87022	0.99296
