overall	Bile_Duct_Cancer	Breast_Cancer	Colorectal_Cancer	Gastric_cancer	Lung_Cancer	Ovarian_Cancer	Pancreatic_Cancer	I	II	III	IV	0_TFx	>0-0.05_TFx	>=0.05_TFx
0.83333	0.97552	0.83707	0.89560	0.73718	0.98718	0.99038	0.61440	0.84359	0.83425	0.84103	0.86699	0.75080	0.83818	0.90684
0.94353	0.94444	0.92540	0.99259	0.98025	0.97778	0.99012	0.85152	0.96458	0.91952	0.95333	0.98750	0.90741	0.96138	1.00000
0.85899	0.95196	0.89328	0.74118	0.81604	0.99118	0.91933	0.75882	0.77709	0.89348	0.83660	0.98039	0.79812	0.88202	0.93856
0.95054	0.99386	0.93728	0.99140	0.99218	1.00000	0.99338	0.84516	0.97581	0.91637	0.98045	1.00000	0.88025	0.97654	0.99522
0.93974	0.99216	0.90980	0.98588	0.88529	1.00000	0.98270	0.91230	0.98039	0.92382	0.90860	0.96471	0.88725	0.95508	0.98151
0.91924	0.97250	0.90556	0.92083	0.96875	0.98750	0.96731	0.80536	0.92895	0.90312	0.94886	0.93750	0.88750	0.91891	0.97232
0.87474	0.91268	0.88796	0.89261	0.75416	0.99296	0.99178	0.70423	0.94668	0.85459	0.84319	0.97183	0.84958	0.87702	0.93427
0.95360	0.97250	0.95114	0.97656	0.92344	0.97187	0.98173	0.88906	0.93929	0.95727	0.92656	0.98393	0.90568	0.97344	0.97727
0.94655	0.97284	0.91358	0.98903	0.95926	0.97531	0.98092	0.89438	0.95741	0.93034	0.96420	0.98765	0.93141	0.94488	1.00000
0.94755	0.99608	0.95375	0.97815	0.93971	0.98971	0.99882	0.81275	0.96078	0.93641	0.94948	0.97386	0.91317	0.95136	1.00000
0.90380	0.96091	0.87654	0.98291	0.84175	0.99691	0.96845	0.78924	0.85273	0.88921	0.92284	0.99551	0.83488	0.92877	0.95238
0.92386	0.95872	0.94465	0.96037	0.90244	0.99695	0.98293	0.81250	0.87940	0.93187	0.95819	0.98171	0.92120	0.91399	0.96829
0.90847	0.96970	0.93439	0.95128	0.79167	0.98901	0.96154	0.84707	0.87436	0.93465	0.86264	0.92023	0.88948	0.90414	0.96548
0.90603	0.95405	0.91506	0.85360	0.83661	0.96959	0.99054	0.85206	0.87703	0.91806	0.89865	0.92568	0.90168	0.89735	0.95455
0.93165	0.96926	0.96669	0.97215	0.89289	0.98987	0.96318	0.83544	0.86076	0.94655	0.95443	0.94394	0.91297	0.92107	0.99747
0.95695	0.96786	0.93129	0.97714	0.96429	0.99143	0.98571	0.92857	0.96837	0.94595	0.94405	0.99714	0.92468	0.96100	0.99694
0.95627	0.99249	0.97213	0.97635	0.89339	0.99662	0.99631	0.90450	0.93806	0.95979	0.94482	0.98649	0.92593	0.97027	0.98919
0.94295	0.95815	0.95656	0.98124	0.94416	0.99221	0.99764	0.76364	0.90188	0.94156	0.96289	0.99423	0.91191	0.94523	0.98355
0.93064	0.97748	0.91699	0.99324	0.89865	0.97973	0.97898	0.81371	0.84685	0.94250	0.91104	0.98761	0.88877	0.92827	0.99625
0.88998	0.96296	0.87160	0.87243	0.78889	0.93416	0.98236	0.88642	0.81235	0.91005	0.88786	0.94691	0.84825	0.89277	0.99040
0.90974	0.96986	0.94007	0.96477	0.88699	0.97260	0.96282	0.79024	0.86416	0.91399	0.90000	0.97717	0.88299	0.90699	0.97758
0.92068	0.94378	0.95120	0.97349	0.90620	0.98795	0.99598	0.77108	0.92209	0.91999	0.89342	0.99096	0.86517	0.94688	0.92255
0.95035	0.98472	0.93287	0.98016	0.93382	0.98611	0.98194	0.89957	0.91667	0.95463	0.94147	0.99228	0.92212	0.95501	0.99466
