	central_cov_MAD_uncorrected	central_cov_MAD_GC_corrected	mean_cov_MAD_uncorrected	mean_cov_MAD_GC_corrected	amplitude_MAD_uncorrected	amplitude_MAD_GC_corrected
AHR.hg38	0.025017814494321257	0.012117610600324503	0.005052530475113474	0.0027614272153662503	0.10785255810248437	0.11033739856698124
AR.hg38	0.014102327203893998	0.013240192320173073	0.003280823213202893	0.002389967779471312	0.11301679257324819	0.11602322579726555
ARID3A.hg38	0.016917697133585728	0.013462957815035146	0.0034717515970959342	0.0029377301801137234	0.10652391022303656	0.10982532352506508
ARNT.hg38	0.02268862704164414	0.012603088372093028	0.007809144549879542	0.002985175613353645	0.10060665268452194	0.10601576926972343
ARNTL.hg38	0.05163704272579773	0.013302291508923734	0.006968824117868835	0.0027676552763984015	0.11870700641756032	0.12383427920042496
ASCL1.hg38	0.03784915175770687	0.012041002920497569	0.008749432305750867	0.0027523302489470165	0.14397450125619693	0.14634571425215015
ASCL2.hg38	0.02016529021092482	0.012374662736614393	0.005181876050936658	0.0030208149499319813	0.11183400996547663	0.11795399609214625
ATF1.hg38	0.027959367658193613	0.017010514007571656	0.010253876644213906	0.004975976580297302	0.2002805384509084	0.21231491386808926
ATF2.hg38	0.013256982368848048	0.01299430946457544	0.0021526590425619005	0.001914946172378167	0.17673676533094146	0.18036776889318204
ATF3.hg38	0.025856836884802586	0.014677280043266636	0.006429317439402148	0.0034254684661651773	0.17000206028636267	0.1768112481543054
ATF4.hg38	0.012131177393185503	0.012556445646295291	0.002611497402363255	0.002006966871527593	0.16214897216521298	0.16502195525156205
ATF7.hg38	0.013069548512709575	0.013513362141698218	0.0018820392546339947	0.001917805014995818	0.16057953601298738	0.16145324365441438
BACH2.hg38	0.018955280259599784	0.012474563331530556	0.0040123754691315325	0.0028834057492173886	0.1468816534063773	0.15311629953897227
BATF.hg38	0.01861571498107086	0.012586802379664683	0.002733154688037762	0.0023197076060770235	0.1356153555993588	0.14182460291502377
BATF3.hg38	0.01819959729583559	0.01452462942130882	0.0024970801186554397	0.002461234750971037	0.13313075208125946	0.1369894305562072
BCL11A.hg38	0.025157498215251487	0.010925485667928612	0.005203099700083549	0.002908759542422572	0.13240276835595655	0.12826888344608403
BCL11B.hg38	0.038792747431043814	0.0168151184424013	0.021381339439828246	0.0070938678892767835	0.11578452844905972	0.1182446441168904
BCL6.hg38	0.020059766684694433	0.01431919578150352	0.007240886025206094	0.004228874916826437	0.21739873377642926	0.2245484141686
BHLHE40.hg38	0.033199717685235254	0.015213827257977281	0.014350249143681252	0.004987233515249838	0.1316870280705257	0.14860320551419975
BPTF.hg38	0.016413927636560296	0.009603198377501352	0.002116207869937887	0.001970270580330067	0.10851799431593659	0.11952566417778658
CDX2.hg38	0.01705938020551647	0.015589152514872908	0.003107687588704792	0.0028856792533228878	0.09736805671966747	0.09944247942835292
CEBPA.hg38	0.024345950351541374	0.019723801622498652	0.00546687634593637	0.0049927201861776375	0.4319694535830503	0.43552599300235256
CEBPB.hg38	0.016618345051379126	0.01368310189291509	0.0032508109215464626	0.003028240162577631	0.32275240012434775	0.3249407961022051
CEBPD.hg38	0.021328933910221736	0.013666078528934564	0.004957354376649119	0.0030010733139944653	0.16505340380659825	0.16902835451847098
CEBPG.hg38	0.012130176744186058	0.012392183883180101	0.002597234662471139	0.002710590723896643	0.25118823175386096	0.2628159252017797
CLOCK.hg38	0.05593806327744728	0.025745837966468378	0.015091032331973054	0.004285819620761441	0.10294631055976411	0.11071310917297636
CREB1.hg38	0.02926575932936723	0.019867741806381824	0.017424265798056282	0.006942508589409503	0.21101802633618508	0.23217837280167822
CREM.hg38	0.02616077014602487	0.016003622282314778	0.013337356399036318	0.005607861645115291	0.1780994093393948	0.1867846265851538
CTCF.hg38	0.028622643591130335	0.026174475824770147	0.009452514754904374	0.008068275375714973	0.6236744525598827	0.6433055863033812
CTCFL.hg38	0.03544217176852353	0.021127684478096258	0.01560010625235588	0.00620991174918465	0.40509037077752413	0.3976995888698291
CXXC1.hg38	0.05653086738777718	0.020628260356949698	0.030282482626153368	0.009808985191012344	0.1320154403671194	0.16512151181972906
DDIT3.hg38	0.015424540832882621	0.013094060356949704	0.002222156716980526	0.002253807329105012	0.14203269590322332	0.15165240250502926
DUX4.hg38	0.015912434396971327	0.013135078745267724	0.00223733502794308	0.0019487614566432365	0.11699867323362663	0.11723250437802557
E2F1.hg38	0.03960991141157382	0.021862412006489994	0.027520004002163315	0.008614792343117496	0.16774966132578029	0.17331600305629696
E2F4.hg38	0.0374655700378583	0.018958841860465116	0.020537291279479508	0.00717687200616224	0.1546239973162061	0.1614345245399856
E2F6.hg38	0.042599719740400215	0.0177026672796106	0.021720336066997702	0.006414793814838483	0.15775886341775897	0.16715063739857952
E2F7.hg38	0.021781409518658732	0.013705115954570033	0.0053045286592261	0.0031233877345657793	0.13178259394903738	0.1399062597044039
E2F8.hg38	0.01888018972417524	0.012259478204434836	0.007362246891849819	0.0035259276758936	0.12391266166756186	0.13265565663120407
EBF1.hg38	0.028779361709031906	0.012488121579232014	0.006794880423488554	0.0027815194486782327	0.12709125406551447	0.12898124038192088
EBF3.hg38	0.01551409507842078	0.012832485343428873	0.00299559761377977	0.00285821781798515	0.08679506641381804	0.09204205251686771
EGR1.hg38	0.037657821092482426	0.016242494862087606	0.017684751521707023	0.005147410052936063	0.09324024822846375	0.10910853721356419
EGR2.hg38	0.04530948729042726	0.02426352915089238	0.008456206830883184	0.00239468441581859	0.1389878145417751	0.1424155772623862
EGR3.hg38	0.04309307528393726	0.016803204975662515	0.009652359775144607	0.0020395316125014096	0.16162036161300977	0.156967451034947
EHF.hg38	0.02060695294753921	0.011840214169821523	0.005990501106249057	0.00325210490519034	0.22247888196036014	0.22604017209457553
ELF1.hg38	0.031435249215792334	0.016169656030286635	0.019068722749397714	0.007218043374797197	0.25814978137096495	0.2797728306771311
ELF3.hg38	0.015882627257977282	0.010504057869118438	0.004081625402756581	0.0028975169542914407	0.2465476244905414	0.24538766453112063
ELK3.hg38	0.040552993510005415	0.011974490535424556	0.01219056398708556	0.0033634247799793344	0.13377285202227035	0.1374138806020149
EOMES.hg38	0.029532880692266103	0.012534765278528932	0.004170326574561156	0.0024957215562875505	0.1016431174231876	0.10620550592784866
EPAS1.hg38	0.028585100703082744	0.01230793358572201	0.005619674664437782	0.002419079092711849	0.12496365324892068	0.12760295701766677
ERF.hg38	0.012055552190373178	0.011863957598702004	0.004394878722323306	0.0030656386974122402	0.16504644571322288	0.16450209083558767
ERG.hg38	0.034837599351000545	0.01853364943212546	0.01728872232328693	0.00623298747234377	0.21404616954893046	0.21618883420517673
ESR1.hg38	0.027406021416982156	0.01271207441860465	0.005585303010636399	0.002614094314699234	0.10102503580323248	0.10835954914602099
