site_name	pearson-r_central_coverage	pearson-pval_central_coverage	pearson-adjusted-p-val_central_coverage	lin-reg-RMSE_central_coverage	pearson-r_mean_coverage	pearson-pval_mean_coverage	pearson-adjusted-p-val_mean_coverage	lin-reg-RMSE_mean_coverage	pearson-r_amplitude	pearson-pval_amplitude	pearson-adjusted-p-val_amplitude	lin-reg-RMSE_amplitude
AHR.hg38.10000	-0.4062345938724273	5.515579268713117e-09	7.170253049327052e-08	0.046032316141490656	-0.403164307085261	7.356393848035773e-09	9.563312002446504e-08	0.01720170310416733	0.11981999626351197	0.09873272001271022	0.3026198003641606	0.5497090910352121
AR.hg38.10000	-0.20367504054946894	0.004712561288529825	0.014444191916875966	0.04834465362975898	-0.32088372517694946	6.0152678378670466e-06	3.843654194704876e-05	0.012310846937647828	-0.008955020658683718	0.9021459718032574	0.9801413007776024	0.5906083151678814
ARID3A.hg38.10000	0.06698858909876684	0.35717665287913714	0.4861212929077065	0.046978840042390876	0.022435288572477965	0.7580326426043109	0.8449109613247536	0.011171774295460776	0.07457329420001416	0.3052280253043355	0.5667910882917814	0.5626810594315088
ARNT.hg38.10000	0.2104291665299267	0.00347918077495581	0.011505711861038074	0.06646211957997407	0.20049188699002463	0.005419871830155238	0.016886708098913426	0.014856755463765307	0.10943045510388777	0.13182072709773499	0.36812158604330436	0.6183160097112611
ARNTL.hg38.10000	0.11582191525964551	0.11058757066138622	0.19639745645211204	0.044761340990838686	0.09346405957171598	0.19843019281287372	0.3069438197889688	0.011008026479749078	0.06705331158644656	0.3567112339103229	0.6198048391711116	0.5997561571903653
ASCL1.hg38.10000	-0.09434813439913142	0.19419945393107743	0.3041516207384645	0.04215748527092373	0.04844936433622685	0.5056801001555964	0.6354713258621995	0.009963883598051606	-0.07202372564859646	0.3221055765819431	0.5816103822103905	0.5363018980042997
ASCL2.hg38.10000	-0.37028157753219215	1.3463787512090079e-07	1.3014994595020409e-06	0.04424590624829581	-0.4013009202144044	8.748986674151319e-09	1.0639896697274346e-07	0.015820504069615184	0.0913130605510281	0.20900214914504	0.4822548942859009	0.558396897332565
ATF1.hg38.10000	-0.08473112225690632	0.24384999165900254	0.35733163916968047	0.0471901917020817	0.06045262329256796	0.40611616190557254	0.5316173369388919	0.01955423013108298	-0.3541075508864465	5.020302135944886e-07	7.570615621004888e-06	0.7960782719882324
ATF2.hg38.10000	-0.020809937018936697	0.7750756460394677	0.8330634044952177	0.043115857634390416	0.14129517758074317	0.05121038378716148	0.10492562330304281	0.008742155879260489	0.0006796385641202572	0.9925549389354508	0.9998717547424754	0.6788978804644596
ATF3.hg38.10000	-0.04323114806705217	0.5526310891907302	0.6720707116932428	0.04605793405404608	0.04682255903730264	0.5200905801248381	0.6492521480366357	0.016412374795763178	-0.0955975939549851	0.18833272685538863	0.46104829886026955	0.7768897117090836
ATF4.hg38.10000	-0.06258114141828892	0.38975894608099426	0.5192195147439393	0.044469923514808045	0.06397051387375956	0.3792995770512184	0.5106997876725333	0.009681332264115772	-0.06686533873769022	0.35806399394842314	0.6198048391711116	0.7490705090545685
ATF7.hg38.10000	-0.011817723037910738	0.871102893116545	0.8972835811610312	0.043961529524321995	0.0953943291080083	0.1892782008819459	0.29486727988633726	0.009067725333289433	0.01721477049626144	0.8131466218062489	0.9317819952004736	0.6240513921514101
BACH1.hg38.10000	0.3855629829758053	3.6279374924100727e-08	4.022742454819404e-07	0.0522358071410284	0.24051823495134528	0.000803619742759719	0.00302964643020414	0.014833316440920613	-0.24415694626369674	0.0006644859787627717	0.005330025829650318	0.6549099205749462
BACH2.hg38.10000	0.4416983570977146	1.591569235584108e-10	3.750135011345055e-09	0.045967222190537414	0.38449077535424	3.986370736878481e-08	3.8534917123158654e-07	0.010822431248656847	-0.13129151454769455	0.07023086642663026	0.2385318616472037	0.5929720518446358
BATF.hg38.10000	0.3363421505295246	1.96336845315272e-06	1.4803798136771508e-05	0.04721495736320751	0.26042501669073503	0.00027422437055693924	0.001260763264633733	0.01044531111996209	-0.2518471842838335	0.00044046346226778453	0.0038617377970919715	0.7054273401813724
BATF3.hg38.10000	0.2107789425600618	0.0034240796094235342	0.011423699227899757	0.041961613638161754	0.22428003887764786	0.0018140567152557993	0.006332401681957743	0.009690442218906099	-0.05341403315623264	0.4630249328693936	0.726294597535398	0.5995860521989135
BCL11A.hg38.10000	0.42311419061444594	1.073875831921111e-09	1.8402326756102676e-08	0.04219498999183313	0.3881166221540947	2.8947784941777337e-08	2.8719249797500144e-07	0.010882060615033782	-0.04738008403116556	0.5151283928719581	0.7586070473153446	0.5492127675416857
BCL11B.hg38.10000	0.24137770363640007	0.000768528172082558	0.0030822885199481317	0.05676178792825854	0.278931220452259	9.327984202718094e-05	0.00046271711110851596	0.023107240626707312	0.12919337365421452	0.07487326891998883	0.2497984281666884	0.5534286034890834
