site_name	pearson-r_central_coverage.uncorrected	pearson-pval_central_coverage.uncorrected	pearson-adjusted-p-val_central_coverage.uncorrected	lin-reg-RMSE_central_coverage.uncorrected	pearson-r_mean_coverage.uncorrected	pearson-pval_mean_coverage.uncorrected	pearson-adjusted-p-val_mean_coverage.uncorrected	lin-reg-RMSE_mean_coverage.uncorrected	pearson-r_amplitude.uncorrected	pearson-pval_amplitude.uncorrected	pearson-adjusted-p-val_amplitude.uncorrected	lin-reg-RMSE_amplitude.uncorrected	pearson-r_central_coverage.GC_corrected	pearson-pval_central_coverage.GC_corrected	pearson-adjusted-p-val_central_coverage.GC_corrected	lin-reg-RMSE_central_coverage.GC_corrected	pearson-r_mean_coverage.GC_corrected	pearson-pval_mean_coverage.GC_corrected	pearson-adjusted-p-val_mean_coverage.GC_corrected	lin-reg-RMSE_mean_coverage.GC_corrected	pearson-r_amplitude.GC_corrected	pearson-pval_amplitude.GC_corrected	pearson-adjusted-p-val_amplitude.GC_corrected	lin-reg-RMSE_amplitude.GC_corrected	pearson-r_central_coverage.GC_map_corrected	pearson-pval_central_coverage.GC_map_corrected	pearson-adjusted-p-val_central_coverage.GC_map_corrected	lin-reg-RMSE_central_coverage.GC_map_corrected	pearson-r_mean_coverage.GC_map_corrected	pearson-pval_mean_coverage.GC_map_corrected	pearson-adjusted-p-val_mean_coverage.GC_map_corrected	lin-reg-RMSE_mean_coverage.GC_map_corrected	pearson-r_amplitude.GC_map_corrected	pearson-pval_amplitude.GC_map_corrected	pearson-adjusted-p-val_amplitude.GC_map_corrected	lin-reg-RMSE_amplitude.GC_map_corrected	pearson-r_central_coverage.GC_CNA-corrected	pearson-pval_central_coverage.GC_CNA-corrected	pearson-adjusted-p-val_central_coverage.GC_CNA-corrected	lin-reg-RMSE_central_coverage.GC_CNA-corrected	pearson-r_mean_coverage.GC_CNA-corrected	pearson-pval_mean_coverage.GC_CNA-corrected	pearson-adjusted-p-val_mean_coverage.GC_CNA-corrected	lin-reg-RMSE_mean_coverage.GC_CNA-corrected	pearson-r_amplitude.GC_CNA-corrected	pearson-pval_amplitude.GC_CNA-corrected	pearson-adjusted-p-val_amplitude.GC_CNA-corrected	lin-reg-RMSE_amplitude.GC_CNA-corrected
AHR.hg38.10000	-0.4624141650749421	1.646562741755059e-11	6.322487133501406e-10	0.0612237305085165	-0.4676038562195719	9.103544237768817e-12	3.8133735307098255e-10	0.0187366576498521	0.133931033998361	0.0647262518061435	0.2067948892450517	0.4825834554118451	-0.414170466702568	2.5845733866252606e-09	3.8975366670308934e-08	0.0462644342583218	-0.4095913446563917	4.012283912535201e-09	5.0421034500859035e-08	0.0172585774843301	0.1229179477460571	0.0902579396750997	0.2722179460601007	0.5297460547842878	-0.4062345938724273	5.515579268713117e-09	7.170253049327053e-08	0.0460323161414906	-0.403164307085261	7.356393848035773e-09	9.563312002446504e-08	0.0172017031041673	0.1198199962635119	0.0987327200127102	0.3026198003641606	0.5497090910352121	-0.5069625360836786	7.238515391971406e-14	3.032133669748023e-12	0.0515784955946325	-0.5359483999863582	1.3540794876910826e-15	6.381099585744229e-14	0.0278469211779299	0.1305104686762782	0.0719308772648553	0.2358081802508737	0.5332052778091917
AR.hg38.10000	-0.1306825483768691	0.0715534878356047	0.1198918440623244	0.0608245397837493	-0.2261178649377039	0.001658957298355	0.0074455583509504	0.0148041775054652	0.009123836087512	0.9003107422376142	0.9324646973175288	0.55679147144326	-0.2062352928656361	0.0042050585433952	0.0126979500466218	0.0488724705593848	-0.3459033354622528	9.523103680460248e-07	6.904250168333681e-06	0.012170062725196	-0.0284070529188903	0.6964663527628256	0.8535810255666676	0.5800894568847725	-0.2036750405494689	0.0047125612885298	0.0144441919168759	0.0483446536297589	-0.3208837251769494	6.015267837867047e-06	3.843654194704876e-05	0.0123108469376478	-0.0089550206586837	0.9021459718032574	0.9801413007776024	0.5906083151678814	-0.2759969297674748	0.0001112485225701	0.0005114718659626	0.0532352050729034	-0.4743323323143785	4.159300035123973e-12	7.127527787462444e-11	0.0194264326523745	-0.0157804352373482	0.8284640954946271	0.9239904321396438	0.5715918827603905
ARID3A.hg38.10000	0.0820209549533355	0.2593144731729509	0.3336571890314078	0.0466427988742467	0.0366162051269096	0.6150395855256499	0.6779822331671638	0.011158233332819	-0.042831629169665	0.5563112994888779	0.7521653171944961	0.5435389978176937	0.073433196875319	0.3127019111718137	0.4431903026758412	0.0457983767413062	0.0406434265135172	0.5766758075470256	0.711153828221485	0.0110828595334422	0.022567363970917	0.7566527232984017	0.8842807408046113	0.5649340016858813	0.0669885890987668	0.3571766528791371	0.4861212929077065	0.0469788400423908	0.0224352885724779	0.7580326426043109	0.8449109613247536	0.0111717742954607	0.0745732942000141	0.3052280253043355	0.5667910882917814	0.5626810594315088	0.0124476774671466	0.8642963514077426	0.911584912545352	0.0480668450106388	-0.0997065604404453	0.1699548610344488	0.2752814338930546	0.0154227986231483	0.0526704636262212	0.4692840128127343	0.7381637529365439	0.5447549423746825
ARNT.hg38.10000	-4.483786808808249e-05	0.9995088191454008	0.9995088191454008	0.0662124367601182	-0.104834747675638	0.148931886640665	0.2110801551260553	0.0226597972574545	0.0966769932902756	0.1833698276794282	0.4127307607981277	0.4834413828043402	0.2705778427845462	0.0001532293928038	0.0006877081081791	0.0459453764617619	0.1826428251852412	0.0114416361433099	0.0319518283409469	0.0137496619971942	0.1122313451053791	0.1221591314042591	0.3263241974250263	0.5413567970351791	0.2104291665299267	0.0034791807749558	0.011505711861038	0.066462119579974	0.2004918869900246	0.0054198718301552	0.0168867080989134	0.0148567554637653	0.1094304551038877	0.1318207270977349	0.3681215860433043	0.6183160097112611	0.1960464176208013	0.0065666495788406	0.0199647329937333	0.046631121731886	-0.0252247429269513	0.7290574442018025	0.8060748786079119	0.020756574132564	0.0583095074394977	0.4229894836057027	0.705606350970575	0.5094570867657177
ARNTL.hg38.10000	-0.1673141959181134	0.0206961697621314	0.0461683787001394	0.1097297194025901	-0.1137676253392221	0.1170980966767967	0.174752396268796	0.0173197724635239	0.0771766213402573	0.28860618170846	0.538636289624205	0.5345988798562996	0.0920265188870705	0.2054516178183213	0.32006305751036	0.0411306294684271	0.0844942874484197	0.2451751924569376	0.3624746962990803	0.0109229684358658	0.084579890203817	0.2446956280288368	0.4851120498580192	0.5684816341935588	0.1158219152596455	0.1105875706613862	0.196397456452112	0.0447613409908386	0.0934640595717159	0.1984301928128737	0.3069438197889688	0.011008026479749	0.0670533115864465	0.3567112339103229	0.6198048391711116	0.5997561571903653	-0.0296344878665333	0.6840390396643387	0.7837438973246265	0.0390929712620432	-0.1346910857931489	0.0632083740252399	0.1260823122090765	0.0160594516982551	0.0758265017161011	0.2971494072020924	0.56128267326938	0.5466459984037216
ASCL1.hg38.10000	-0.2854006804786361	6.281456294552983e-05	0.000388214593942	0.0892001698459624	-0.232937263698236	0.0011834017573061	0.0057940579546028	0.0208842804925807	-0.0676604789546646	0.3523635729425115	0.5852029383230257	0.4753788434819228	-0.1148835718885686	0.1135253208095875	0.2028390803090734	0.0443096063985835	0.0084723223400654	0.9073963213561252	0.9295880792153782	0.0099230756057799	-0.0904745049085144	0.2132313471620944	0.456826366818396	0.4815410739418249	-0.0943481343991314	0.1941994539310774	0.3041516207384645	0.0421574852709237	0.0484493643362268	0.5056801001555964	0.6354713258621995	0.0099638835980516	-0.0720237256485964	0.3221055765819431	0.5816103822103905	0.5363018980042997	-0.15264279390098	0.0350234631495359	0.0835686430846522	0.0446174873804494	-0.180104927329125	0.0126603785404059	0.0315699269965617	0.0139370722567301	-0.095015876660562	0.1910477876943266	0.4261835263950363	0.4615699145314609
ASCL2.hg38.10000	-0.4622520861824885	1.6770522900534238e-11	6.322487133501406e-10	0.0476352269146042	-0.4818241404797215	1.7037316219209193e-12	8.028835268302333e-11	0.0179882143943598	0.1907498324737223	0.008212045720914	0.0407360689050606	0.4874439365633005	-0.3694499831867883	1.4432000588750122e-07	1.3270400541362918e-06	0.0452395633584145	-0.4105141326359071	3.6739359852270032e-09	4.776116780795104e-08	0.0158178965991467	0.1151529299122777	0.112675847093607	0.3137916730829505	0.5122554890486037	-0.3702815775321921	1.346378751209008e-07	1.3014994595020409e-06	0.0442459062482958	-0.4013009202144044	8.748986674151319e-09	1.0639896697274347e-07	0.0158205040696151	0.0913130605510281	0.20900214914504	0.4822548942859009	0.558396897332565	-0.4720512126511046	5.434823762735271e-12	1.44896961715421e-10	0.0465708581230895	-0.509263714502777	5.3503172694478175e-14	1.833699645983479e-12	0.0243766197810664	0.1075058555214937	0.1387929256765532	0.3488328865337372	0.5010111790712508
ATF1.hg38.10000	-0.2841966972339621	6.766103185315897e-05	0.0004114227259458	0.0560996325960887	-0.1661819389960988	0.0215843587518411	0.0476471167689112	0.0313958447004708	-0.3674436992141438	1.7050601648850397e-07	2.5712307286466395e-06	0.7702444016227067	-0.0996261588837679	0.1703011861447648	0.2750331205189678	0.0483284419438811	0.0520658669100042	0.4744072956883742	0.6042282110625578	0.0197366294413798	-0.3537739093492846	5.154554220511708e-07	7.474103619741977e-06	0.7896015979003814	-0.0847311222569063	0.2438499916590025	0.3573316391696804	0.0471901917020817	0.0604526232925679	0.4061161619055725	0.5316173369388919	0.0195542301310829	-0.3541075508864465	5.020302135944886e-07	7.570615621004888e-06	0.7960782719882324	-0.1440316946104326	0.0468262583344121	0.1026366243725196	0.0470585425187558	-0.0655251140575743	0.3678015949122586	0.5079164882121666	0.0274162926088242	-0.3666867005738611	1.815242222693639e-07	2.9754187737195733e-06	0.7524787782929793
ATF2.hg38.10000	0.0966988743690068	0.1832702258761156	0.2458821179903758	0.0622484164438217	0.162562438557108	0.0246479013056797	0.0516236599568958	0.010532565960157	0.0269196501701506	0.7116344868090725	0.8462833011826929	0.653112353696676	-0.0140990989024552	0.8465016507637697	0.8791490973497003	0.0431346639528377	0.1363979210824326	0.059905906167071	0.1188659296051882	0.0086366164237101	-0.0027540919776269	0.969837156196635	0.9802375546545078	0.6882865192426307	-0.0208099370189366	0.7750756460394677	0.8330634044952177	0.0431158576343904	0.1412951775807431	0.0512103837871614	0.1049256233030428	0.0087421558792604	0.0006796385641202	0.9925549389354508	0.9998717547424754	0.6788978804644596	-0.0305330880445156	0.6749943477107171	0.7758319179479889	0.0444758839139252	0.0121581013683587	0.8674239587598859	0.9134604258449076	0.0109768145709066	0.0135237068986607	0.8526933893420785	0.9344924644824524	0.692726973167426
ATF3.hg38.10000	-0.1905840838873109	0.0082689755651781	0.022922086677001	0.0577117402385255	-0.1037365141626545	0.1532596194692288	0.2155928229100719	0.0206139658085539	-0.1212756011876138	0.094675409737738	0.2683656351212573	0.7524208513633474	-0.0397769390868726	0.5848350308436943	0.6892796970580108	0.0456432253020376	0.0413639697599044	0.5699316767012217	0.7067902701196072	0.0164131773277637	-0.1115405447304655	0.1244894281823869	0.3263241974250263	0.761037875709731	-0.0432311480670521	0.5526310891907302	0.6720707116932428	0.046057934054046	0.0468225590373026	0.5200905801248381	0.6492521480366357	0.0164123747957631	-0.0955975939549851	0.1883327268553886	0.4610482988602695	0.7768897117090836	-0.1421964806880065	0.0497302327550174	0.1078806337173415	0.0435816870007082	-0.0890901195569966	0.2203468675655976	0.3432676407943401	0.0217415021695524	-0.1133025838575216	0.1186125617785839	0.3194066842180438	0.7147929777457783
