overall	Bile_Duct_Cancer	Breast_Cancer	Colorectal_Cancer	Gastric_cancer	Lung_Cancer	Ovarian_Cancer	Pancreatic_Cancer	I	II	III	IV	0-0.03TFx	0.03-0.05TFx	>0.05TFx
0.93758	0.98951	0.94872	0.97436	0.93590	1.00000	0.98077	0.81361	0.91026	0.93529	0.94231	0.98878	0.90589	0.98168	0.99573
0.93790	0.95062	0.93915	0.98025	0.96790	0.96389	0.98642	0.81111	0.94583	0.91471	0.96333	0.98194	0.91770	0.99407	1.00000
0.90384	0.96373	0.94118	0.89412	0.91979	1.00000	0.97143	0.62206	0.88359	0.89475	0.94641	0.98431	0.89628	0.96578	0.86928
0.93907	0.99693	0.93190	0.99570	0.99707	1.00000	0.99338	0.78781	0.98656	0.88232	0.99511	0.99821	0.91376	0.99933	0.97252
0.94778	0.98562	0.93039	0.99765	0.91176	1.00000	0.97647	0.90802	0.97712	0.92706	0.93303	0.99176	0.93854	0.96824	0.97143
0.95164	0.98000	0.91736	0.97083	0.97656	0.99062	0.98365	0.90804	0.95592	0.93938	0.97159	0.98750	0.93214	0.98654	0.98750
0.96113	0.99014	0.96415	0.99296	0.93982	1.00000	0.99765	0.83979	0.99296	0.94176	0.96150	0.99472	0.95727	0.95775	0.98905
0.95599	0.98125	0.96477	0.95781	0.96406	0.99688	0.99423	0.80781	0.96339	0.93953	0.99062	0.99643	0.95896	0.99444	0.91023
0.95499	0.97160	0.93778	0.95473	0.99259	0.98765	0.97868	0.89575	0.95802	0.93974	0.98889	0.98942	0.94202	0.98060	0.99588
0.95833	0.98170	0.97485	0.98824	0.96324	0.99118	0.98588	0.83529	0.96941	0.94146	0.98408	0.96993	0.94737	0.97941	0.98706
0.91198	0.96914	0.92416	0.91738	0.94501	0.98765	0.98217	0.75309	0.87919	0.88889	0.95885	0.97980	0.87287	0.97994	0.96561
0.93721	0.94841	0.93715	0.96189	0.91192	1.00000	0.99146	0.87652	0.90583	0.94141	0.96690	0.98780	0.91674	0.97967	0.99268
0.93694	0.93823	0.96229	0.93077	0.91266	0.98535	0.97949	0.87821	0.88654	0.94715	0.93956	0.98575	0.92069	0.95788	0.98817
0.93103	0.96847	0.90283	0.97072	0.92015	0.97297	0.97703	0.89047	0.92568	0.92352	0.94305	0.97973	0.90750	0.97823	0.97789
