	median	0.025	0.975
overall	0.94521	0.91004	0.96972
Bile_Duct_Cancer	0.97297	0.89421	0.99899
Breast_Cancer	0.95107	0.89744	0.98480
Colorectal_Cancer	0.97075	0.89805	1.00000
Gastric_cancer	0.94258	0.83698	0.99445
Lung_Cancer	1.00000	0.97486	1.00000
Ovarian_Cancer	0.98844	0.95802	1.00000
Pancreatic_Cancer	0.86122	0.73229	0.95610
I	0.93603	0.85972	0.98915
II	0.93747	0.88549	0.97187
III	0.95928	0.89968	0.99325
IV	0.98915	0.95131	1.00000
0-0.03TFx	0.92971	0.88708	0.96257
0.03-0.05TFx	0.97607	0.92262	0.99834
>0.05TFx	0.98707	0.90905	1.00000
