	median	0.025	0.975
overall	0.93934	0.87564	0.96649
Bile_Duct_Cancer	0.97242	0.91144	0.99807
Breast_Cancer	0.93564	0.86324	0.97764
Colorectal_Cancer	0.97647	0.86080	0.99790
Gastric_cancer	0.93153	0.80430	0.99218
Lung_Cancer	0.99539	0.96493	1.00000
Ovarian_Cancer	0.98553	0.94729	0.99897
Pancreatic_Cancer	0.85068	0.71969	0.95122
I	0.92859	0.83033	0.98400
II	0.93104	0.86802	0.96766
III	0.95000	0.86282	0.98868
IV	0.98750	0.91832	1.00000
0-0.03TFx	0.92137	0.85184	0.95601
0.03-0.05TFx	0.97314	0.88977	0.99634
>0.05TFx	0.98918	0.91747	1.00000
