overall	Bile_Duct_Cancer	Breast_Cancer	Colorectal_Cancer	Gastric_cancer	Lung_Cancer	Ovarian_Cancer	Pancreatic_Cancer	I	II	III	IV	0_TFx	>0-0.05_TFx	>=0.05_TFx
0.69315	0.79720	0.79274	0.53663	0.38462	0.99145	0.65385	0.69822	0.60342	0.77747	0.70000	0.48878	0.71715	0.70256	0.63932
0.77321	0.81975	0.78783	0.56914	0.59506	0.95556	0.84815	0.87172	0.75208	0.83273	0.69778	0.58472	0.74198	0.80026	0.70000
0.65524	0.76275	0.79412	0.41863	0.35294	0.98824	0.74286	0.73529	0.58266	0.76057	0.44575	0.63137	0.61176	0.67193	0.71111
0.75011	0.74654	0.88112	0.65591	0.46530	0.99785	0.78246	0.70753	0.75376	0.80257	0.68231	0.55914	0.77419	0.79521	0.47073
0.79713	0.78954	0.81569	0.59059	0.66961	0.97255	0.85952	0.83316	0.80000	0.83912	0.62624	0.82588	0.73676	0.79599	0.90420
0.78026	0.87750	0.88472	0.62778	0.49375	0.97187	0.80577	0.75982	0.75724	0.82375	0.74432	0.67000	0.71793	0.78397	0.87232
0.69934	0.84648	0.73239	0.43838	0.48015	0.99648	0.77582	0.72359	0.61771	0.75828	0.68545	0.67254	0.70930	0.68911	0.71831
0.79640	0.84875	0.89034	0.51719	0.53906	0.95312	0.77788	0.96094	0.65268	0.86599	0.86719	0.54643	0.77500	0.79500	0.84432
0.78387	0.88889	0.81926	0.59534	0.55185	0.93580	0.86981	0.82579	0.73580	0.83157	0.83951	0.55556	0.74440	0.77606	0.93964
0.87328	0.94379	0.87911	0.67563	0.89118	0.96029	0.92588	0.80784	0.85333	0.87395	0.85744	0.93333	0.78711	0.90362	0.89647
0.69777	0.76852	0.88183	0.54986	0.35802	0.90741	0.84774	0.70106	0.62169	0.77714	0.63272	0.64310	0.76080	0.66635	0.67725
0.72149	0.82364	0.79456	0.39329	0.52575	0.99085	0.91098	0.65015	0.69783	0.74470	0.75261	0.51829	0.68809	0.77150	0.61829
0.71691	0.86713	0.73077	0.47436	0.57131	0.95604	0.77179	0.74267	0.59038	0.81144	0.56960	0.84188	0.67860	0.70600	0.83925
0.69804	0.62342	0.79537	0.47748	0.36118	0.96284	0.69865	0.84211	0.55405	0.80190	0.60521	0.58108	0.66123	0.72513	0.67936
0.80675	0.89150	0.91339	0.56835	0.66602	0.95696	0.72382	0.87131	0.65748	0.87834	0.72911	0.79024	0.78323	0.82651	0.77722
0.69237	0.66310	0.74490	0.44286	0.55238	0.91143	0.79821	0.72571	0.67347	0.72548	0.67262	0.62000	0.66104	0.74324	0.60714
0.77890	0.93093	0.80321	0.62500	0.69219	0.98311	0.86732	0.67658	0.70721	0.82597	0.69595	0.76834	0.70621	0.83205	0.78919
0.76098	0.84416	0.82042	0.52237	0.73506	0.97662	0.89847	0.47143	0.79221	0.75046	0.68831	0.86436	0.69904	0.77301	0.81905
0.67747	0.70871	0.90154	0.44895	0.56250	0.87500	0.49099	0.74421	0.59572	0.76711	0.57995	0.50563	0.67672	0.72765	0.56982
0.71605	0.68607	0.79342	0.48560	0.49012	0.92798	0.87654	0.85556	0.72716	0.77213	0.65638	0.63704	0.69650	0.73298	0.70233
0.69300	0.78219	0.75685	0.51076	0.38470	0.95205	0.92172	0.70034	0.64954	0.75820	0.60959	0.60046	0.77454	0.65934	0.63138
0.76673	0.86145	0.82711	0.63012	0.67470	0.95783	0.91968	0.69980	0.58394	0.82422	0.75811	0.93373	0.67355	0.79299	0.88124
0.73643	0.83750	0.82099	0.45040	0.61928	0.96667	0.83750	0.83654	0.60069	0.81173	0.68750	0.68673	0.64782	0.77355	0.79594
0.75480	0.86667	0.76898	0.58012	0.53534	1.00000	0.92515	0.74008	0.73684	0.78262	0.61053	0.77444	0.79557	0.71128	0.80827
0.72582	0.79565	0.84453	0.49517	0.38647	1.00000	0.76329	0.73602	0.61594	0.79776	0.73810	0.61077	0.66261	0.77798	0.66356
0.72359	0.77633	0.76919	0.54978	0.59903	0.91234	0.81818	0.69431	0.76809	0.75657	0.72900	0.48773	0.68117	0.79588	0.55844
0.79891	0.87324	0.86044	0.66901	0.51174	0.95423	0.75039	0.94718	0.67457	0.86178	0.81187	0.67840	0.77913	0.81070	0.78489
0.72850	0.63268	0.81645	0.52138	0.68750	0.85526	0.73482	0.79049	0.69079	0.77576	0.62573	0.68567	0.70724	0.76512	0.64211
0.76569	0.84129	0.82622	0.58938	0.54931	0.96348	0.80819	0.83628	0.74686	0.80172	0.74676	0.67041	0.66496	0.79392	0.85393
0.72945	0.82021	0.75726	0.38661	0.56773	0.89628	0.88917	0.73973	0.73901	0.77839	0.62243	0.64555	0.68672	0.75948	0.68493
0.72354	0.84219	0.79024	0.47826	0.54638	0.97826	0.81159	0.75556	0.66280	0.73814	0.81039	0.57350	0.70109	0.75399	0.67826
0.70278	0.85714	0.84083	0.40267	0.33778	0.94889	0.78815	0.84364	0.69778	0.80076	0.59619	0.59556	0.70489	0.73191	0.56267
0.77952	0.91139	0.95618	0.53970	0.61266	0.95443	0.71807	0.81076	0.64647	0.85970	0.60970	0.66076	0.69922	0.85091	0.66212
0.73901	0.85795	0.77039	0.62292	0.56250	0.97500	0.80250	0.67308	0.71500	0.83958	0.54375	0.60313	0.67344	0.77733	0.73438
