	median	0.025	0.975
overall	0.74577	0.67069	0.84558
Bile_Duct_Cancer	0.84713	0.66595	0.96652
Breast_Cancer	0.82020	0.71726	0.90665
Colorectal_Cancer	0.51858	0.31023	0.75943
Gastric_cancer	0.53621	0.30398	0.84848
Lung_Cancer	0.95833	0.82523	1.00000
Ovarian_Cancer	0.83611	0.66664	0.95386
Pancreatic_Cancer	0.78034	0.60413	0.93125
I	0.70059	0.54210	0.86225
II	0.80091	0.71943	0.89164
III	0.69444	0.52841	0.84994
IV	0.68173	0.44817	0.92021
0_TFx	0.70367	0.58295	0.81619
>0-0.05_TFx	0.77617	0.67557	0.88456
>=0.05_TFx	0.74924	0.53789	0.92551
