overall	Bile_Duct_Cancer	Breast_Cancer	Colorectal_Cancer	Gastric_cancer	Lung_Cancer	Ovarian_Cancer	Pancreatic_Cancer	I	II	III	IV	0_TFx	>0-0.05_TFx	>=0.05_TFx
0.82861	0.96503	0.83494	0.87912	0.69231	0.98718	0.99359	0.64103	0.80513	0.84493	0.84231	0.84135	0.76362	0.82479	0.90940
0.94049	0.93210	0.92804	0.99136	0.97901	0.97778	0.99506	0.83434	0.96319	0.91592	0.94778	0.98611	0.89959	0.96138	0.99722
0.84450	0.95000	0.89496	0.70686	0.78075	0.99118	0.91933	0.73382	0.75294	0.88776	0.79739	0.98431	0.78871	0.86252	0.92941
0.95441	0.99078	0.93907	0.98925	0.99218	1.00000	0.99338	0.86452	0.97849	0.92533	0.97263	1.00000	0.89785	0.97458	0.99403
0.94290	0.99216	0.91029	0.97647	0.89118	1.00000	0.98339	0.93155	0.97778	0.93000	0.91222	0.96588	0.90098	0.95401	0.97983
0.90461	0.96750	0.88125	0.85556	0.97344	0.97813	0.96346	0.80625	0.90921	0.89156	0.95341	0.87500	0.87065	0.90929	0.94732
0.87662	0.89859	0.89565	0.89613	0.74648	0.99648	0.98944	0.72711	0.94165	0.86601	0.83756	0.96127	0.85690	0.88251	0.90454
0.95103	0.97250	0.94375	0.97187	0.92188	0.97188	0.97500	0.90312	0.92857	0.95698	0.92656	0.98036	0.90284	0.96625	0.99205
0.94093	0.96173	0.90617	0.98217	0.95432	0.97778	0.97306	0.89849	0.94444	0.92622	0.96543	0.98413	0.92410	0.93913	1.00000
0.95620	0.99346	0.96836	0.94958	0.97206	0.98824	1.00000	0.83431	0.94588	0.94538	0.97439	0.98954	0.92549	0.96018	1.00000
0.90653	0.95782	0.89242	0.98101	0.85073	0.99383	0.97668	0.78131	0.86155	0.89079	0.92490	0.99327	0.84671	0.92688	0.95238
0.92749	0.97280	0.94465	0.97104	0.88753	0.99695	0.98171	0.82165	0.87195	0.93902	0.96864	0.98171	0.92120	0.92234	0.96341
