	median	0.025	0.975
overall	0.93858	0.88561	0.96553
Bile_Duct_Cancer	0.96878	0.89858	0.99680
Breast_Cancer	0.93504	0.86713	0.97597
Colorectal_Cancer	0.96989	0.86083	0.99696
Gastric_cancer	0.92063	0.78606	0.99132
Lung_Cancer	0.99573	0.95889	1.00000
Ovarian_Cancer	0.98573	0.95028	1.00000
Pancreatic_Cancer	0.85987	0.73382	0.95417
I	0.91609	0.82320	0.97960
II	0.93396	0.87938	0.96783
III	0.94615	0.86454	0.98824
IV	0.98506	0.91817	1.00000
0_TFx	0.90523	0.83745	0.95500
>0-0.05_TFx	0.94323	0.88250	0.97642
>=0.05_TFx	0.98734	0.91723	1.00000
