overall	Bile_Duct_Cancer	Breast_Cancer	Colorectal_Cancer	Gastric_cancer	Lung_Cancer	Ovarian_Cancer	Pancreatic_Cancer	I	II	III	IV	0_TFx	>0-0.05_TFx	>=0.05_TFx
0.80263	0.90326	0.77885	0.75092	0.80641	0.93162	0.87340	0.71302	0.77863	0.81349	0.79615	0.81250	0.74599	0.82222	0.80427
0.94414	0.97654	0.93280	0.98395	0.97037	0.95000	0.98025	0.84848	0.95069	0.92793	0.95333	0.98056	0.90617	0.96349	0.99722
0.79966	0.90686	0.77227	0.67549	0.75722	0.85294	0.85210	0.83382	0.71641	0.83275	0.77124	0.94118	0.75529	0.81210	0.87451
0.91570	0.99693	0.90143	0.98065	0.97556	1.00000	0.95864	0.75842	0.96505	0.86141	0.94526	0.99462	0.81378	0.95015	0.99642
0.93027	0.98301	0.89314	0.99059	0.91569	0.99608	0.97785	0.85882	0.97647	0.90235	0.90679	0.98235	0.86569	0.94492	0.99496
0.90757	0.97125	0.88681	0.90694	0.97188	0.98438	0.96058	0.78125	0.90197	0.89812	0.93182	0.93500	0.85707	0.91474	0.97054
0.77070	0.91972	0.70487	0.60739	0.79513	0.92254	0.90023	0.62500	0.85815	0.72554	0.75681	0.82746	0.71606	0.77499	0.90297
0.93750	0.96875	0.92898	0.97344	0.94531	0.94687	0.95962	0.83750	0.91429	0.93634	0.93594	0.98393	0.89432	0.94594	0.99318
0.94124	0.98025	0.89481	0.98354	0.96296	0.98025	0.96970	0.90398	0.94630	0.92357	0.97160	0.98942	0.92547	0.93885	1.00000
0.93990	0.99608	0.93185	0.98824	0.96471	0.98529	0.99882	0.79314	0.95608	0.92269	0.94464	0.98431	0.89692	0.94570	1.00000
0.89482	0.97016	0.86332	0.97911	0.90909	0.99074	0.93964	0.71605	0.86155	0.86990	0.91358	0.99551	0.79115	0.92276	0.99471
0.91233	0.94747	0.93527	0.89177	0.95528	0.99390	0.98780	0.77820	0.88076	0.92312	0.89373	0.96951	0.90150	0.90982	0.95000
0.89371	0.96154	0.89744	0.95256	0.86058	0.95788	0.92692	0.76832	0.85897	0.90181	0.88095	0.93162	0.87003	0.88432	0.97830
0.77338	0.83153	0.77606	0.52928	0.51474	0.96284	0.88919	0.83855	0.68446	0.84273	0.64093	0.83559	0.71249	0.78637	0.87838
0.92841	0.97468	0.95137	0.94937	0.90458	0.98734	0.95627	0.84037	0.84438	0.94187	0.95949	0.96564	0.90190	0.92033	0.99831
0.94325	0.96667	0.88571	0.96571	0.99524	0.99143	0.95714	0.94143	0.94082	0.93977	0.90952	1.00000	0.90390	0.94595	0.99796
0.94914	0.98949	0.94595	0.97635	0.93694	0.99324	0.99017	0.87928	0.93919	0.95419	0.91667	0.99228	0.91341	0.96371	0.99459
0.93723	0.95094	0.95163	0.98701	0.96364	0.98961	0.99292	0.71818	0.91342	0.92981	0.94712	0.99711	0.90457	0.93535	0.99307
0.92755	0.99550	0.93887	0.95420	0.95608	0.96284	0.97898	0.77317	0.83784	0.93243	0.95495	0.97072	0.88514	0.93382	0.97523
0.77850	0.91887	0.78025	0.66872	0.56667	0.95679	0.85714	0.83704	0.79506	0.80952	0.67593	0.77037	0.73405	0.78413	0.87517
0.88159	0.97260	0.88784	0.91194	0.92808	0.93836	0.92759	0.72860	0.85160	0.87671	0.88356	0.93836	0.86358	0.86950	0.96264
0.90495	0.98394	0.93614	0.96627	0.88985	0.98795	0.99197	0.70884	0.90843	0.90238	0.87488	0.99096	0.83878	0.92662	0.96730
0.91236	0.94167	0.87191	0.96329	0.91993	0.97222	0.93472	0.84081	0.88021	0.91790	0.86806	0.98302	0.87897	0.91274	0.98291
