	median	0.025	0.975
overall	0.91419	0.86513	0.94959
Bile_Duct_Cancer	0.96373	0.85925	0.99708
Breast_Cancer	0.89494	0.81477	0.95645
Colorectal_Cancer	0.97078	0.90647	0.99828
Gastric_cancer	0.88846	0.73767	0.98000
Lung_Cancer	0.99824	0.98163	1.00000
Ovarian_Cancer	0.96914	0.91320	0.99638
Pancreatic_Cancer	0.83384	0.68746	0.94413
I	0.92219	0.84273	0.97608
II	0.89958	0.82620	0.94822
III	0.92613	0.82609	0.98555
IV	0.97147	0.89922	1.00000
0_TFx	0.85700	0.77712	0.93031
>0-0.05_TFx	0.92470	0.87307	0.96510
>=0.05_TFx	0.98617	0.90996	1.00000
