overall	Bile_Duct_Cancer	Breast_Cancer	Colorectal_Cancer	Gastric_cancer	Lung_Cancer	Ovarian_Cancer	Pancreatic_Cancer	I	II	III	IV	0_TFx	>0-0.05_TFx	>=0.05_TFx
0.89457	0.98485	0.90491	0.96703	0.80641	1.00000	0.95513	0.76627	0.89915	0.89560	0.89359	0.90224	0.74840	0.91652	0.98462
0.89254	0.89877	0.89101	0.97778	0.91605	0.97778	0.95679	0.71111	0.91875	0.84925	0.94333	0.95833	0.82058	0.92989	0.98611
0.84842	0.93333	0.86975	0.80588	0.70267	0.99706	0.90084	0.80882	0.79319	0.88076	0.79477	0.98039	0.76424	0.88168	0.95294
0.91670	0.99846	0.89845	1.00000	0.93157	1.00000	0.96112	0.78996	0.93065	0.87485	0.97067	0.99462	0.81769	0.94917	1.00000
0.93773	0.97778	0.88873	0.97647	0.94510	1.00000	0.97785	0.90160	0.97190	0.90735	0.94027	0.98824	0.88284	0.94813	0.99916
0.92352	0.98250	0.89931	0.97639	0.95469	0.98125	0.95288	0.81696	0.94013	0.89906	0.95341	0.98250	0.89130	0.93429	0.94643
0.92526	0.98873	0.88988	0.97359	0.87836	1.00000	0.98709	0.82923	0.96479	0.90293	0.91737	0.96655	0.87944	0.93885	0.99061
0.91199	0.91625	0.87955	0.93437	0.83750	0.99375	0.98173	0.89375	0.93571	0.89448	0.93906	0.92857	0.80568	0.94812	0.99318
0.92671	0.93333	0.88296	0.98217	0.95432	1.00000	0.97755	0.85185	0.93519	0.90270	0.98025	0.97002	0.88752	0.93684	0.99588
0.92814	0.97778	0.90751	0.98824	0.84559	0.99853	0.98824	0.86373	0.97647	0.90336	0.94256	0.93595	0.90868	0.92240	0.99882
0.86805	0.95885	0.85626	0.96581	0.89001	1.00000	0.95885	0.59788	0.86067	0.81070	0.94959	0.98316	0.79578	0.88604	0.94180
0.90639	0.91276	0.86961	0.98933	0.94715	1.00000	0.97073	0.79726	0.91599	0.89236	0.94425	0.96341	0.88180	0.90180	0.98780
0.91607	0.94522	0.86576	0.96538	0.89263	0.99817	0.96667	0.86264	0.93269	0.90244	0.89011	0.96866	0.88240	0.91608	0.99112
0.90432	0.92342	0.85071	0.97523	0.88821	0.99324	0.95811	0.88336	0.94324	0.88528	0.89768	0.93919	0.83364	0.92754	0.99140
0.93446	0.93852	0.97668	0.98101	0.85394	0.99494	0.98734	0.86990	0.91139	0.93601	0.96582	0.94575	0.90506	0.93050	0.99494
0.92250	0.93810	0.92177	0.94857	0.95238	1.00000	0.99286	0.75857	0.95306	0.89112	0.93571	0.98000	0.89740	0.94402	0.90510
0.93562	0.97598	0.90372	0.99155	0.91742	0.99324	0.98403	0.87568	0.94595	0.93111	0.92117	0.96911	0.90140	0.94595	0.99189
0.91682	0.88889	0.89207	0.96104	0.96234	0.99740	0.99055	0.79870	0.90548	0.89239	0.94898	0.99711	0.85658	0.92434	0.98615
0.93341	0.98498	0.92021	0.98724	0.87669	0.99662	0.98048	0.83494	0.91329	0.93732	0.88401	0.98761	0.89449	0.93313	0.99024
0.93010	0.97707	0.84774	0.99177	0.86543	1.00000	0.98413	0.92469	0.95926	0.91852	0.89918	0.98148	0.86471	0.95697	1.00000
0.89285	0.97123	0.89555	0.97456	0.83562	0.98288	0.96086	0.78938	0.88128	0.89296	0.86027	0.97489	0.89669	0.86950	0.96513
0.90462	0.97390	0.92108	0.95542	0.88038	0.99096	0.97992	0.76205	0.88434	0.90578	0.89805	0.98193	0.85542	0.91539	0.98451
0.89687	0.95833	0.92284	0.94643	0.80556	1.00000	0.93056	0.81410	0.83247	0.91389	0.87698	0.96914	0.90575	0.87500	0.95513
0.93390	0.98363	0.90416	0.97661	0.97143	1.00000	0.99064	0.84372	0.98421	0.91163	0.93553	0.99699	0.86316	0.94827	0.99398
0.93225	0.98116	0.90909	0.95411	0.86634	1.00000	0.95773	0.90166	0.89783	0.93379	0.95031	0.98551	0.89333	0.93740	0.98447
0.94244	0.97258	0.91617	0.97619	0.97078	1.00000	0.95005	0.89211	0.95455	0.92721	0.96017	0.96681	0.86948	0.95963	0.98701
0.90395	0.89859	0.90653	0.99120	0.84664	1.00000	0.88889	0.87911	0.89993	0.90206	0.90241	0.91784	0.81626	0.92394	0.98848
0.92089	0.97039	0.89408	0.97204	0.89035	0.99561	0.98077	0.82996	0.95148	0.90622	0.87573	0.98246	0.87566	0.91881	0.98772
0.95011	0.97191	0.90487	0.98059	0.98752	1.00000	0.99358	0.88042	0.98282	0.91540	0.96370	0.99126	0.91369	0.95752	0.99157
0.90240	0.88356	0.89479	0.95890	0.82496	0.99609	0.97136	0.85580	0.88753	0.88402	0.95205	0.94178	0.85289	0.90727	0.97050
0.88204	0.92593	0.87567	0.93961	0.77826	0.99638	0.94928	0.81159	0.86280	0.86133	0.93116	0.95238	0.81461	0.89094	0.96618
