site_name	pearson_r_central_coverage	pearson_pval_central_coverage	lin_reg_RMSE_central_coverage	pearson_r_mean_coverage	pearson_pval_mean_coverage	lin_reg_RMSE_mean_coverage	pearson_r_amplitude	pearson_pval_amplitude	lin_reg_RMSE_amplitude
AHR.hg38.10000	-0.8796569699756267	1.5064875231026261e-06	0.015159384928923747	-0.8873156581523791	9.127913209070575e-07	0.007791033646201394	0.6222019935311426	0.005827630052695365	0.08241190814899681
AR.hg38.10000	-0.7155624971326908	0.0008410878357475372	0.05570841362831968	-0.7650983654354672	0.00021618198053860425	0.02382099014968239	0.6829815786160559	0.0017845482703501931	0.2540286748487717
ARID3A.hg38.10000	-0.0742868374842709	0.769560020722625	0.01975939815441346	-0.3715656530812278	0.1289615661262609	0.007967942761941408	-0.712034148072502	0.0009168211697047201	0.052367707373095373
ARNT.hg38.10000	0.35157415301713174	0.15252457448420526	0.02127691929109412	-0.13080090786308862	0.60492362595454	0.010891529550435286	0.2802576235784146	0.2599833012078684	0.05849789274516348
ARNTL.hg38.10000	0.21988852804635098	0.3806303781425522	0.02275790673029858	-0.027132890685909187	0.9148922738941487	0.0084929047772111	0.5562595236733483	0.01651464348088126	0.06382315691699701
ASCL1.hg38.10000	-0.5170950106115555	0.027982241219970602	0.01732315634956032	-0.5576874665037072	0.016181286760564018	0.007336683373908755	-0.7143852756904346	0.0008657527833064747	0.14597065833760078
ASCL2.hg38.10000	-0.7734369501631149	0.0001665990694316896	0.04213829253536103	-0.7611301764181564	0.00024383208000266197	0.021136934094695085	0.750596443506353	0.00033206882062364654	0.08666784430068042
ATF1.hg38.10000	-0.10730214153828183	0.6717196159632819	0.02326942633817428	-0.143942710334188	0.5687891318692118	0.019423093829121985	-0.8575753685747414	5.392044597873313e-06	0.27359816134482
ATF2.hg38.10000	0.3591296993101238	0.14329631091410105	0.015728651176546902	0.1694338802259176	0.5015035722990724	0.004660828991532345	-0.692263916784937	0.0014542065339385472	0.1359199417130139
ATF3.hg38.10000	0.13236593400958888	0.6005720910431405	0.02395228168032896	-0.10061504196934859	0.691191702185968	0.012642757009152268	-0.8162599124527292	3.605035137063291e-05	0.29571914729528315
ATF4.hg38.10000	0.4266191276638569	0.07746944791072348	0.011693218883695622	0.1364116237749516	0.5893828280413685	0.003923670162007385	-0.7768323769593557	0.0001493679089293892	0.17636428792299857
ATF7.hg38.10000	0.4556620502411709	0.0573866251530396	0.015493829839272636	0.1407079654235996	0.5775964428927627	0.004990905330826449	-0.6856052974083714	0.0016854475479979158	0.14369427473595525
BACH1.hg38.10000	0.7987488528912172	7.039103717991516e-05	0.021992060668882155	0.38112808274613397	0.11864558955142565	0.011320902657007364	-0.8953381765254026	5.189344275349669e-07	0.18316012590269182
BACH2.hg38.10000	0.8673749422733937	3.1485071378420367e-06	0.016012553002871317	0.686139923050232	0.0016658237245655734	0.006608021517561192	-0.8525521406235487	6.997890886914175e-06	0.190122860999153
BATF.hg38.10000	0.7230448055367603	0.0006976286947547117	0.019302640917846624	0.6108033648271755	0.007088818419137039	0.0049039012252842466	-0.8308792260951438	1.950445733103993e-05	0.258479926023659
BATF3.hg38.10000	0.6797389719012723	0.0019136358647741374	0.016970623671524198	0.6202920899123378	0.006025179813409928	0.004341448347546637	-0.6721231567885209	0.0022473970691087655	0.20888390359407616
BCL11A.hg38.10000	0.7907332556308341	9.362621005223684e-05	0.01852214107693405	0.614325475926966	0.006677603471118818	0.006112555716782971	-0.8591243154802285	4.965718286615969e-06	0.1255748011653304
BCL11B.hg38.10000	0.7064050448188787	0.0010493708763143193	0.02551711819926297	0.2566879757436887	0.303850797369677	0.020604927547093414	-0.2972258912158877	0.23099546047205932	0.07531616084511683
BCL6.hg38.10000	0.8393539743570589	1.329819199890048e-05	0.018783777280591225	0.5836874837538832	0.010987888490714356	0.010640705247506172	-0.8135447776968205	4.0170525197054964e-05	0.28476199109083844
BHLHE40.hg38.10000	0.6611856296256711	0.0028094647479864916	0.02141759301423078	0.08445133935924198	0.7390059508161985	0.016970888004967356	-0.8642931015669825	3.7455044159764143e-06	0.13255511001214604
BPTF.hg38.10000	0.07403089377527743	0.770333765924761	0.014306404363527305	-0.41314994252169257	0.08835924339317505	0.003732035952618457	-0.04155208060796635	0.8699639836374283	0.05589036273612073
CDX2.hg38.10000	-0.5816061641172492	0.011346628735159315	0.028252713185277178	-0.6538972704331034	0.0032445237778965562	0.01133893957349337	0.4957667928428797	0.036410533419679966	0.1424795513084451
CEBPA.hg38.10000	0.8803705113612903	1.4398515854157638e-06	0.026119683975975517	0.8299107575530901	2.035014147868039e-05	0.007843133632250851	-0.8376537117733008	1.4385091418325897e-05	0.5765147223305402
