site_name	pearson_r_central_coverage.single_length.35-100bp	pearson_pval_central_coverage.single_length.35-100bp	lin_reg_RMSE_central_coverage.single_length.35-100bp	pearson_r_mean_coverage.single_length.35-100bp	pearson_pval_mean_coverage.single_length.35-100bp	lin_reg_RMSE_mean_coverage.single_length.35-100bp	pearson_r_amplitude.single_length.35-100bp	pearson_pval_amplitude.single_length.35-100bp	lin_reg_RMSE_amplitude.single_length.35-100bp	pearson_r_central_coverage.single_length.100-200bp	pearson_pval_central_coverage.single_length.100-200bp	lin_reg_RMSE_central_coverage.single_length.100-200bp	pearson_r_mean_coverage.single_length.100-200bp	pearson_pval_mean_coverage.single_length.100-200bp	lin_reg_RMSE_mean_coverage.single_length.100-200bp	pearson_r_amplitude.single_length.100-200bp	pearson_pval_amplitude.single_length.100-200bp	lin_reg_RMSE_amplitude.single_length.100-200bp	pearson_r_central_coverage.multi_length.35-100bp	pearson_pval_central_coverage.multi_length.35-100bp	lin_reg_RMSE_central_coverage.multi_length.35-100bp	pearson_r_mean_coverage.multi_length.35-100bp	pearson_pval_mean_coverage.multi_length.35-100bp	lin_reg_RMSE_mean_coverage.multi_length.35-100bp	pearson_r_amplitude.multi_length.35-100bp	pearson_pval_amplitude.multi_length.35-100bp	lin_reg_RMSE_amplitude.multi_length.35-100bp	pearson_r_central_coverage.multi_length.100-200bp	pearson_pval_central_coverage.multi_length.100-200bp	lin_reg_RMSE_central_coverage.multi_length.100-200bp	pearson_r_mean_coverage.multi_length.100-200bp	pearson_pval_mean_coverage.multi_length.100-200bp	lin_reg_RMSE_mean_coverage.multi_length.100-200bp	pearson_r_amplitude.multi_length.100-200bp	pearson_pval_amplitude.multi_length.100-200bp	lin_reg_RMSE_amplitude.multi_length.100-200bp
AHR.hg38.10000	-0.0561279732132932	0.8249299250195192	0.1452528979482149	-0.1799797271958529	0.4748321470224502	0.0319518241110533	-0.0749767989210234	0.7674752269190559	0.3554939172271505	-0.8796569699756267	1.506487523102626e-06	0.0151593849289237	-0.8873156581523791	9.127913209070577e-07	0.0077910336462013	0.6222019935311426	0.0058276300526953	0.0824119081489968	-0.0914159106733157	0.7182805147917044	0.1091469532827499	-0.2811524810570155	0.2584003577396537	0.0254196758421161	-0.042983645703687	0.8655218354309138	0.2138776190051249	-0.8635491700904679	3.903373816582835e-06	0.0153428916190854	-0.875076971345723	2.000892304429398e-06	0.0080800512829007	0.6247481207856304	0.0055724820795403	0.0823038020282089
AR.hg38.10000	0.0291881619179799	0.9084702057410182	0.1326851817560109	-0.164067820852975	0.5153437026565151	0.0319058341938766	-0.3336318734613462	0.1760522238696196	0.4324327830313009	-0.7155624971326908	0.0008410878357475	0.0557084136283196	-0.7650983654354672	0.0002161819805386	0.0238209901496823	0.6829815786160559	0.0017845482703501	0.2540286748487717	0.0884320900631576	0.7271379176541969	0.1380264561726752	-0.1033029230818876	0.6833419082464428	0.0332133250379079	-0.2570250415826697	0.3031939840176962	0.4331863599735402	-0.7166744466870142	0.0008183315192763	0.0555718848329212	-0.7659422607098587	0.0002106566313334	0.0237048799390738	0.6801495994332182	0.0018968744507006	0.2545665687965163
ARID3A.hg38.10000	-0.3592375940496267	0.1431673966541421	0.1372153758501864	-0.3366908209997384	0.1718783233342908	0.0260895073206487	-0.2618224210467361	0.2939381943269981	0.3556494353976044	-0.0742868374842709	0.769560020722625	0.0197593981544134	-0.3715656530812278	0.1289615661262609	0.0079679427619414	-0.712034148072502	0.0009168211697047	0.0523677073730953	-0.4757300001629608	0.0459880571467534	0.1170237811232509	-0.4785576046112826	0.0445316621853881	0.0189153324944382	-0.3798897802822795	0.1199474537830088	0.3393136020874285	-0.0583266521753978	0.8181783234508486	0.0202055342631103	-0.3669279844631722	0.1341844730434278	0.0079869497431459	-0.7114955491247495	0.0009288666221638	0.0558261587226027
ARNT.hg38.10000	-0.2238445260554018	0.3719002998043798	0.1594577705509327	-0.2725901369372919	0.27379431416277	0.0504618160828936	0.4203685115505539	0.0823929924162214	0.2873411850369376	0.3515741530171317	0.1525245744842052	0.0212769192910941	-0.1308009078630886	0.60492362595454	0.0108915295504352	0.2802576235784146	0.2599833012078684	0.0584978927451634	-0.438296911238575	0.0688552849605028	0.0976604968733743	-0.5359785611810387	0.0218628685487813	0.0311568930924491	0.2230940315397364	0.3735478097371751	0.3241762883117861	0.3884457343301109	0.1111558410623909	0.0235804068848304	-0.0725713024242929	0.774750191613419	0.0117143174573719	0.26793100247425	0.2824032195428655	0.0628941219167667
ARNTL.hg38.10000	-0.1519878037292693	0.5471400357881033	0.1542333805611451	-0.2074053211754136	0.4089115100591399	0.0405881103321417	-0.4209698805751887	0.0819096032358961	0.362013669688353	0.2198885280463509	0.3806303781425522	0.0227579067302985	-0.0271328906859091	0.9148922738941488	0.0084929047772111	0.5562595236733483	0.0165146434808812	0.063823156916997	-0.4221728280087232	0.0809488869524241	0.0737931452858427	-0.3838626605100345	0.1158061113211091	0.0251264455232896	-0.1957554283287171	0.4362901024174787	0.4351237960880723	0.3154240337148684	0.2023062130183944	0.023390625886271	0.0148703012152183	0.9533002756243144	0.0090317338484292	0.562655136448286	0.0150628713256989	0.0630301133488351
ASCL1.hg38.10000	-0.0215820207805753	0.9322609906559218	0.1279614516751264	-0.1701304013217715	0.4997202403143984	0.0303311983222081	-0.2565888619774814	0.3040440946273957	0.4207378725532628	-0.5170950106115555	0.0279822412199706	0.0173231563495603	-0.5576874665037072	0.016181286760564	0.0073366833739087	-0.7143852756904346	0.0008657527833064	0.1459706583376007	-0.2248198811458842	0.3697652574276524	0.0937078742537939	-0.382436090835467	0.1172813282442252	0.0213705605078756	-0.3990336966801468	0.1009239257848877	0.3600278923031573	-0.3923787175718005	0.1072725062950816	0.0180983771283238	-0.4816011078192762	0.0430035518471588	0.0077667510864721	-0.722513038809662	0.0007070983061896	0.1453008860617861
ASCL2.hg38.10000	-0.1560408570011694	0.5363749536134683	0.2276055565116593	-0.2105996640981672	0.4015694980088772	0.0478170952445646	-0.0505400800690501	0.8421406512880527	0.2179378260476678	-0.7734369501631149	0.0001665990694316	0.042138292535361	-0.7611301764181564	0.0002438320800026	0.021136934094695	0.750596443506353	0.0003320688206236	0.0866678443006804	-0.172736115829793	0.4930757812567711	0.1900618802514248	-0.2779076708219442	0.2641689844133048	0.040086546769527	0.093147687520911	0.7131553241379691	0.232650124746076	-0.7604540050004854	0.0002488285693496	0.0426628753693329	-0.7536378647053336	0.0003042049526948	0.0212043438478655	0.7309133919598156	0.0005694221550683	0.087446854991086
ATF1.hg38.10000	-0.5210303767471336	0.0266086063980048	0.4885805603061346	-0.3408721539970121	0.1662817905260253	0.0726771790135751	-0.4559813725720709	0.0571901110258932	0.9465135444570812	-0.1073021415382818	0.6717196159632819	0.0232694263381742	-0.143942710334188	0.5687891318692118	0.0194230938291219	-0.8575753685747414	5.392044597873313e-06	0.27359816134482	-0.6122096748705497	0.0069222413469883	0.3748727472915303	-0.5141933303972476	0.029029877095349	0.0524719387163419	-0.5643396733903842	0.0146978721115549	0.8032539855623037	-0.0834553202922943	0.7419843527777858	0.0246193483605488	-0.1089454172608632	0.6669643100595695	0.020028661353496	-0.8509099654428702	7.6047826979587505e-06	0.2794502428207688
ATF2.hg38.10000	-0.4801107729903903	0.0437467579457081	0.0797616118002841	-0.3853873428304563	0.114244032910271	0.0147201268958168	-0.1740297407160969	0.4897930476929379	0.2647642021234543	0.3591296993101238	0.143296310914101	0.0157286511765469	0.1694338802259176	0.5015035722990724	0.0046608289915323	-0.692263916784937	0.0014542065339385	0.1359199417130139	-0.4472975327568067	0.0627166717274647	0.0626648345079463	-0.4469082881491285	0.0629733844220455	0.0127281295094425	0.0364681461632409	0.8857685377357735	0.2589564329785599	0.3089850724630169	0.2121749985973919	0.0156142979766499	0.1441337519535758	0.5682707964094267	0.0046304076078085	-0.7046151069794587	0.0010947177401878	0.1338165709022566
ATF3.hg38.10000	-0.4905732216991575	0.0387306586775932	0.271690040145909	-0.331856552738673	0.1785056328238736	0.0470663058917952	-0.2882711545824347	0.2460230589524365	0.3957864643677453	0.1323659340095888	0.6005720910431405	0.0239522816803289	-0.1006150419693485	0.691191702185968	0.0126427570091522	-0.8162599124527292	3.605035137063291e-05	0.2957191472952831	-0.6293179546790325	0.0051373258351711	0.1927647779036887	-0.5183926355689426	0.0275233564138374	0.0338247912912296	-0.2511091397472889	0.3148454803313131	0.4559057238848646	0.1666366122497441	0.5086960326223813	0.0242013383165343	-0.0743973099948425	0.7692261144495991	0.0130114010466197	-0.8125902142937823	4.171126821686083e-05	0.2980027741914992
