site_name	pearson_r_central_coverage	pearson_pval_central_coverage	lin_reg_RMSE_central_coverage	pearson_r_mean_coverage	pearson_pval_mean_coverage	lin_reg_RMSE_mean_coverage	pearson_r_amplitude	pearson_pval_amplitude	lin_reg_RMSE_amplitude
AHR.hg38.10000	-0.8635491700904679	3.903373816582835e-06	0.015342891619085443	-0.875076971345723	2.000892304429398e-06	0.008080051282900779	0.6247481207856304	0.005572482079540334	0.08230380202820899
AR.hg38.10000	-0.7166744466870142	0.0008183315192763437	0.05557188483292122	-0.7659422607098587	0.0002106566313334283	0.02370487993907385	0.6801495994332182	0.0018968744507006695	0.2545665687965163
ARID3A.hg38.10000	-0.05832665217539786	0.8181783234508486	0.020205534263110368	-0.36692798446317226	0.13418447304342787	0.007986949743145998	-0.7114955491247495	0.0009288666221638722	0.05582615872260275
ARNT.hg38.10000	0.3884457343301109	0.11115584106239094	0.023580406884830492	-0.07257130242429295	0.774750191613419	0.011714317457371946	0.26793100247425006	0.28240321954286557	0.06289412191676677
ARNTL.hg38.10000	0.31542403371486843	0.20230621301839444	0.023390625886271006	0.014870301215218306	0.9533002756243145	0.009031733848429245	0.562655136448286	0.01506287132569893	0.06303011334883514
ASCL1.hg38.10000	-0.3923787175718005	0.10727250629508168	0.01809837712832383	-0.48160110781927623	0.043003551847158816	0.00776675108647216	-0.722513038809662	0.0007070983061896888	0.14530088606178615
ASCL2.hg38.10000	-0.7604540050004854	0.00024882856934961827	0.04266287536933291	-0.7536378647053336	0.0003042049526948209	0.021204343847865553	0.7309133919598156	0.0005694221550683853	0.08744685499108601
ATF1.hg38.10000	-0.08345532029229433	0.7419843527777858	0.024619348360548878	-0.10894541726086329	0.6669643100595695	0.020028661353496093	-0.8509099654428702	7.6047826979587505e-06	0.2794502428207688
ATF2.hg38.10000	0.30898507246301693	0.21217499859739192	0.01561429797664991	0.14413375195357586	0.5682707964094267	0.004630407607808545	-0.7046151069794587	0.0010947177401878039	0.1338165709022566
ATF3.hg38.10000	0.16663661224974416	0.5086960326223813	0.0242013383165343	-0.07439730999484256	0.7692261144495991	0.013011401046619787	-0.8125902142937823	4.171126821686083e-05	0.2980027741914992
ATF4.hg38.10000	0.39706068570383757	0.1027771992687831	0.011107497744879432	0.09584852793088386	0.70518554108151	0.003857968150271596	-0.7700337655031028	0.0001855263201578413	0.17819099908200187
ATF7.hg38.10000	0.4291149203403916	0.07556519962150528	0.015223544258606768	0.12590414044458476	0.6186205457348148	0.00506470925890553	-0.6917719106768797	0.001470339089376069	0.14131246018803142
BACH1.hg38.10000	0.7707795448564542	0.00018123035270603126	0.02550908927523163	0.3816201976685826	0.11813100001351091	0.012123652497831944	-0.8909820947205818	7.089807185122789e-07	0.1867876350869244
BACH2.hg38.10000	0.8703167642524987	2.6568695336202393e-06	0.016173600262990945	0.6771710280738523	0.002021255853659432	0.00676136891457468	-0.8484148504096753	8.613107835647037e-06	0.19187114543391542
