	median	0.025	0.975
overall	0.87439	0.81882	0.91739
Bile_Duct_Cancer	0.90127	0.79627	0.97849
Breast_Cancer	0.87123	0.78313	0.93852
Colorectal_Cancer	0.86827	0.72306	0.96625
Gastric_cancer	0.85412	0.70719	0.95585
Lung_Cancer	0.95136	0.78289	1.00000
Ovarian_Cancer	0.91976	0.82323	0.98117
Pancreatic_Cancer	0.83822	0.70532	0.93679
I	0.84406	0.73682	0.92552
II	0.87833	0.81105	0.92945
III	0.87010	0.74392	0.95620
IV	0.92566	0.80952	0.99268
0-0.03TFx	0.84335	0.78065	0.89483
0.03-0.05TFx	0.92175	0.83044	0.98095
>0.05TFx	0.95625	0.88718	0.99444
